filename,original_bytes,compressed_bytes,compression_ratio,throughput_MiB_s
br-1-4.tar,1423360,334538,4.2547,15.6384
br-1-5.tar,2048000,450458,4.5464,53.6897
br-1-6.tar,2396160,519341,4.6138,89.7918
br-1-7.tar,3246080,630021,5.1523,73.1288
br-1-8.tar,3819520,746724,5.1150,79.5788
br-1-9.tar,4126720,819532,5.0354,101.3819
branchpoint-1-10.tar,4444160,893071,4.9762,116.0937
branchpoint-1-5.tar,1730560,315114,5.4918,84.1017
branchpoint-1-6.tar,2344960,507133,4.6239,82.8619
branchpoint-1-7.tar,2949120,566053,5.2099,67.6191
branchpoint-1-8.tar,3706880,720491,5.1449,105.3405
branchpoint-1-9.tar,3921920,766779,5.1147,95.2731
branchpoint-real-1-5.tar,2037760,449945,4.5289,84.0010
handle-languages.tar,2304000,414879,5.5534,87.9373
last-merge-into-user-dep-gen-branch.tar,1812480,329460,5.5013,79.0552
merging-into-user-dep-gen.tar,1843200,334027,5.5181,51.3263
ng-0.5a.tar,7127040,1430068,4.9837,88.8036
pre-depend-change.tar,1484800,271140,5.4761,52.4848
pre-ian-conditionals.tar,1372160,247386,5.5466,47.7530
Release-1-10-1.tar,4556800,918959,4.9586,40.6631
Release-1-10.tar,4444160,893177,4.9756,77.1110
Release-1-7-8.tar,3235840,629258,5.1423,72.2251
Release-1-7-9.tar,3235840,629692,5.1387,67.0950
Release-1-7b.tar,3645440,708346,5.1464,69.9336
Release-1-7d.tar,3665920,712392,5.1459,96.3493
Release-1-7f.tar,3676160,713126,5.1549,75.6250
Release-1-7h.tar,3686400,717111,5.1406,74.1614
Release-1-7.tar,2949120,565998,5.2104,71.2406
Release-1-8-0b.tar,3737600,726079,5.1476,98.4496
Release-1-8-1.tar,3747840,728388,5.1453,95.3748
Release-1-8-2b.tar,3809280,743999,5.1200,114.3521
Release-1-8-2.tar,3747840,729191,5.1397,102.5252
Release-1-8-3b.tar,3819520,745781,5.1215,79.8833
Release-1-8-3.tar,3809280,744067,5.1195,75.7243
Release-1-8-4.tar,3809280,745558,5.1093,96.2330
Release-1-8-5.tar,3819520,746299,5.1179,138.9115
Release-1-8b.tar,3911680,763457,5.1236,104.6144
Release-1-8d.tar,3942400,768880,5.1274,80.6638
Release-1-8.tar,3706880,720535,5.1446,104.6738
Release-1-9-1.tar,3932160,768135,5.1191,104.0348
Release-1-9-2.tar,3993600,787324,5.0723,111.8418
Release-1-9-3.tar,4003840,791791,5.0566,102.0168
Release-1-9-4.tar,4055040,803116,5.0491,110.3797
Release-1-9-5b.tar,4126720,819383,5.0363,105.1570
Release-1-9-5.tar,4075520,808846,5.0386,81.9646
Release-1-9-6.tar,4126720,819116,5.0380,82.1191
Release-1-9b.tar,4423680,889042,4.9757,74.9946
Release-1-9.tar,3921920,766618,5.1158,68.1358
user-dep-gen-abandoned-branch.tar,1454080,333320,4.3624,119.4626
user-dep-gen-branchpoint.tar,1771520,321470,5.5106,76.8560
user-dep-gen-merge-abandoned-branch.tar,1464320,335600,4.3632,122.8262
user-dep-gen-merge-branchpoint.tar,1433600,330595,4.3364,46.8363
v1.10.2.tar,4628480,933240,4.9595,68.8097
v1.10.3.tar,4700160,948888,4.9533,82.2299
v1.10b.tar,5007360,1018576,4.9160,111.9081
v1.11.1b.tar,5908480,1179552,5.0090,73.5312
v1.11.1.tar,5109760,1038398,4.9208,97.3652
