filename,compressed_bytes,restored_bytes,throughput_MiB_s
br-1-4.tar.zst,334538,1423360,68.7677
br-1-5.tar.zst,450458,2048000,168.4612
br-1-6.tar.zst,519341,2396160,434.8722
br-1-7.tar.zst,630021,3246080,429.7294
br-1-8.tar.zst,746724,3819520,579.3353
br-1-9.tar.zst,819532,4126720,605.4154
branchpoint-1-10.tar.zst,893071,4444160,608.0774
branchpoint-1-5.tar.zst,315114,1730560,452.6531
branchpoint-1-6.tar.zst,507133,2344960,476.9565
branchpoint-1-7.tar.zst,566053,2949120,539.2421
branchpoint-1-8.tar.zst,720491,3706880,586.8164
branchpoint-1-9.tar.zst,766779,3921920,594.6177
branchpoint-real-1-5.tar.zst,449945,2037760,457.2768
handle-languages.tar.zst,414879,2304000,498.0439
last-merge-into-user-dep-gen-branch.tar.zst,329460,1812480,452.5784
merging-into-user-dep-gen.tar.zst,334027,1843200,392.1108
ng-0.5a.tar.zst,1430068,7127040,663.0151
pre-depend-change.tar.zst,271140,1484800,409.6801
pre-ian-conditionals.tar.zst,247386,1372160,408.3638
Release-1-10-1.tar.zst,918959,4556800,599.2127
Release-1-10.tar.zst,893177,4444160,601.9870
Release-1-7-8.tar.zst,629258,3235840,548.0117
Release-1-7-9.tar.zst,629692,3235840,549.8096
Release-1-7b.tar.zst,708346,3645440,570.4725
Release-1-7d.tar.zst,712392,3665920,571.5045
Release-1-7f.tar.zst,713126,3676160,581.5572
Release-1-7h.tar.zst,717111,3686400,576.2533
Release-1-7.tar.zst,565998,2949120,538.6173
Release-1-8-0b.tar.zst,726079,3737600,576.3185
Release-1-8-1.tar.zst,728388,3747840,575.0904
Release-1-8-2b.tar.zst,743999,3809280,579.2314
Release-1-8-2.tar.zst,729191,3747840,574.6071
Release-1-8-3b.tar.zst,745781,3819520,577.2846
Release-1-8-3.tar.zst,744067,3809280,586.0497
Release-1-8-4.tar.zst,745558,3809280,585.8645
Release-1-8-5.tar.zst,746299,3819520,584.2439
Release-1-8b.tar.zst,763457,3911680,586.0109
Release-1-8d.tar.zst,768880,3942400,587.9207
Release-1-8.tar.zst,720535,3706880,577.8488
Release-1-9-1.tar.zst,768135,3932160,553.9833
Release-1-9-2.tar.zst,787324,3993600,583.5143
Release-1-9-3.tar.zst,791791,4003840,595.5761
Release-1-9-4.tar.zst,803116,4055040,594.3348
Release-1-9-5b.tar.zst,819383,4126720,589.9199
Release-1-9-5.tar.zst,808846,4075520,598.4959
Release-1-9-6.tar.zst,819116,4126720,584.7565
Release-1-9b.tar.zst,889042,4423680,606.5953
Release-1-9.tar.zst,766618,3921920,588.1111
user-dep-gen-abandoned-branch.tar.zst,333320,1454080,395.9113
user-dep-gen-branchpoint.tar.zst,321470,1771520,458.0203
user-dep-gen-merge-abandoned-branch.tar.zst,335600,1464320,392.4686
user-dep-gen-merge-branchpoint.tar.zst,330595,1433600,387.3700
v1.10.2.tar.zst,933240,4628480,609.0668
v1.10.3.tar.zst,948888,4700160,614.3032
v1.10b.tar.zst,1018576,5007360,620.9877
v1.11.1b.tar.zst,1179552,5908480,646.8264
v1.11.1.tar.zst,1038398,5109760,623.0301
v1.11.2b.tar.zst,1165098,5693440,652.1706
v1.11.2.tar.zst,1180951,5908480,645.3615
v1.11.3b.tar.zst,1176674,5744640,633.3842
v1.11.3.tar.zst,1166583,5693440,637.6229
v1.11.4.tar.zst,1177604,5744640,631.7796
v1.11.5.tar.zst,1178216,5754880,644.2099
v1.11.6.tar.zst,1178455,5754880,640.5500
v1.11b.tar.zst,1441912,7208960,679.9312
v1.11d.tar.zst,1450063,7229440,681.2674
v1.11.tar.zst,1028694,5068800,620.7723
v1.12.0b.tar.zst,1462134,7301120,675.7871
v1.12.1.tar.zst,1462575,7301120,677.6680
v1.12.2.tar.zst,1467179,7331840,678.8882
v1.12.3.tar.zst,1468457,7321600,673.5824
v1.12.4.tar.zst,1469595,7331840,662.2083
v1.12.5.tar.zst,1474054,7331840,668.1545
v1.12.6.tar.zst,1483868,7372800,667.3756
v1.12b.tar.zst,1484715,7352320,663.7070
v1.12.tar.zst,1451736,7239680,666.4473
v1.13.1b.tar.zst,1489297,7372800,657.0201
v1.13.1d.tar.zst,1497013,7413760,666.5166
v1.13.1.tar.zst,1487564,7372800,659.2971
v1.13.2b.tar.zst,1500147,7413760,671.4252
v1.13.2.tar.zst,1497069,7413760,676.2170
v1.13.3.tar.zst,1500490,7413760,677.3732
v1.13.4.tar.zst,1501793,7434240,668.3829
v1.13b.tar.zst,1518586,7526400,670.4860
v1.13.tar.zst,1485411,7362560,672.7531
v1.14.1.tar.zst,1522286,7546880,683.7241
v1.14.tar.zst,1521355,7546880,674.8342
v1.15.1.tar.zst,1542397,7639040,677.8974
v1.15.tar.zst,1526309,7567360,676.3229
v1.16.1.tar.zst,1550959,7669760,676.2916
v1.16.2.tar.zst,1553179,7680000,677.6935
v1.16.3.tar.zst,1596052,7823360,663.3036
v1.16.4.tar.zst,1603842,7864320,683.6919
v1.16.5.tar.zst,1605340,7864320,672.4464
v1.16.90.tar.zst,1623901,7956480,680.6503
v1.16.92.tar.zst,1626919,7966720,674.4167
v1.16i.tar.zst,1620969,7925760,683.9151
v1.16.tar.zst,1550787,7669760,687.5872
v1.17.tar.zst,1629465,7976960,690.1891
ylwrap-refactor-abandoned-branch.tar.zst,1170033,5744640,630.7308

Total_decompressed_files: 100
Mean_throughput_MiB_s: 590.5122
Std_dev_MiB_s: 105.5859
95%_CI_MiB_s: [569.8173, 611.2070]
