filename,compressed_bytes,restored_bytes,throughput_MiB_s
v3.10.10.tar.zst,25489264,98324480,760.4702
v3.10.11.tar.zst,25529411,98375680,816.4853
v3.10.12.tar.zst,25530412,98457600,822.0047
v3.10.13.tar.zst,25515915,98478080,813.6076
v3.10.14.tar.zst,25539258,98529280,809.8578
v3.10.15.tar.zst,25570524,98580480,817.8304
v3.10.16.tar.zst,25565700,98600960,822.4163
v3.10.17.tar.zst,25546865,98467840,817.5502
v3.10.18.tar.zst,25559398,98519040,814.2391
v3.10.4.tar.zst,25118294,97372160,676.8938
v3.10.5.tar.zst,25134554,97474560,819.4891
v3.10.6.tar.zst,25422227,97935360,815.8760
v3.10.7.tar.zst,25436587,98007040,823.1446
v3.10.8.tar.zst,25473613,98058240,547.7083
v3.10.9.tar.zst,25464892,98160640,824.8610
v3.11.0a1.tar.zst,24401271,94945280,806.1684
v3.11.0a2.tar.zst,24451848,95252480,793.3331
v3.11.0a3.tar.zst,24534206,95641600,799.7673
v3.11.0a4.tar.zst,24547274,95979520,797.1095
v3.11.0a5.tar.zst,24602137,96163840,816.3305
v3.11.0a6.tar.zst,24665982,96419840,799.5560
v3.11.0a7.tar.zst,25159903,96808960,812.0021
v3.11.0b1.tar.zst,25232721,97269760,816.5467
v3.11.0b2.tar.zst,25378807,98908160,815.1055
v3.11.0b3.tar.zst,25405533,98918400,817.4337
v3.11.0b4.tar.zst,25454386,99143680,802.9267
v3.11.0b5.tar.zst,25702632,99522560,810.5310
v3.11.0rc1.tar.zst,25764535,99604480,818.9371
v3.11.0rc2.tar.zst,25770872,99696640,810.1126
v3.11.0.tar.zst,25748203,99768320,756.6833
v3.11.10.tar.zst,26223595,101580800,814.7341
v3.11.11.tar.zst,26228342,101591040,648.8563
v3.11.12.tar.zst,26232238,101959680,511.0545
v3.11.13.tar.zst,26229798,102021120,506.3031
v3.11.1.tar.zst,25830741,100034560,515.9323
v3.11.2.tar.zst,25944352,100259840,387.5600
v3.11.3.tar.zst,25943384,100311040,249.6359
v3.11.4.tar.zst,25991455,100628480,247.8153
v3.11.5.tar.zst,26050189,100751360,247.2515
v3.11.6.tar.zst,26078962,100864000,253.4425
v3.11.7.tar.zst,26114054,101058560,246.2975
v3.11.8.tar.zst,26179206,101273600,247.4903
v3.11.9.tar.zst,26204695,101519360,250.9191
v3.12.0a1.tar.zst,25711519,99307520,243.2129
v3.12.0a2.tar.zst,25564859,98355200,246.6460
v3.12.0a3.tar.zst,25641986,98754560,250.7488
v3.12.0a4.tar.zst,25665504,98734080,244.1174
