filename,compressed_bytes,restored_bytes,throughput_MiB_s
gcc-10.1.0.tar.zst,114534688,635351040,790.6133
gcc-10.2.0.tar.zst,114765368,636395520,739.1599
gcc-10.3.0.tar.zst,115018223,638187520,782.8147
gcc-11.1.0.tar.zst,121619732,672665600,35.3044
gcc-11.2.0.tar.zst,121933272,673658880,723.4224
gcc-11.3.0.tar.zst,121959076,675164160,839.8860
gcc-12.1.0.tar.zst,127300701,707655680,794.8358
gcc-2.8.0.tar.zst,7963650,33495040,410.2913
gcc-2.8.1.tar.zst,7144553,30197760,528.4258
gcc-2.95.0.tar.zst,12695565,60682240,615.6557
gcc-2.95.1.tar.zst,12624297,60241920,722.5426
gcc-2.95.2.1.tar.zst,12631359,60272640,738.8618
gcc-2.95.2.tar.zst,12631839,60272640,461.0907
gcc-2.95.3.tar.zst,12040152,55173120,361.0994
gcc-3.0.0.tar.zst,15880087,80721920,763.7400
gcc-3.0.1.tar.zst,15990502,81551360,801.6729
gcc-3.0.2.tar.zst,16140428,82237440,127.3486
gcc-3.0.3.tar.zst,16228888,82667520,131.0648
gcc-3.0.4.tar.zst,16300751,82984960,90.9028
gcc-3.1.0.tar.zst,23768217,122828800,190.2458
gcc-3.1.1.tar.zst,23835551,123248640,130.9132
gcc-3.2.0.tar.zst,23838818,123340800,143.1685
gcc-3.2.1.tar.zst,23935640,124231680,122.3173
gcc-3.2.2.tar.zst,23971743,124487680,15.5723
gcc-3.2.3.tar.zst,24004440,124610560,22.9808
gcc-3.3.0.tar.zst,26272049,138721280,693.8892
gcc-3.3.1.tar.zst,26411496,140195840,572.9781
gcc-3.3.2.tar.zst,26432775,140328960,644.5296
gcc-3.3.3.tar.zst,26608540,141312000,755.6037
gcc-3.3.4.tar.zst,26634995,141465600,814.0067
gcc-3.3.5.tar.zst,26639759,141506560,714.1664
gcc-3.3.6.tar.zst,26745587,142151680,730.1557
gcc-3.4.0.tar.zst,31918902,179906560,781.5416
gcc-3.4.1.tar.zst,31474432,177930240,819.9517
gcc-3.4.2.tar.zst,31567390,180070400,783.8637
gcc-3.4.3.tar.zst,31623101,180654080,763.8509
gcc-3.4.4.tar.zst,31787426,181862400,842.6149
gcc-3.4.5.tar.zst,31822866,182056960,770.1994
gcc-3.4.6.tar.zst,31762033,180234240,146.7934
gcc-4.0.0.tar.zst,37097361,213934080,121.1130
gcc-4.0.1.tar.zst,37400792,216350720,178.9258
gcc-4.0.2.tar.zst,37432181,215777280,64.1967
gcc-4.0.3.tar.zst,37448302,214620160,18.1249
gcc-4.0.4.tar.zst,37487993,214896640,817.3638
gcc-4.1.0.tar.zst,44171457,254433280,795.9870
gcc-4.1.1.tar.zst,44356042,255784960,712.0059
gcc-4.1.2.tar.zst,44677432,257689600,847.9800
gcc-4.2.0.tar.zst,49431401,285409280,765.8201
gcc-4.2.1.tar.zst,49643256,287303680,755.1857
gcc-4.2.2.tar.zst,49730666,287447040,844.1113
gcc-4.2.3.tar.zst,49786581,287692800,662.8713
gcc-4.2.4.tar.zst,49465422,285327360,142.7912
gcc-4.3.0.tar.zst,67294697,384256000,128.9034
gcc-4.3.1.tar.zst,66970018,382453760,26.1280
gcc-4.3.2.tar.zst,67070680,382863360,772.4149
gcc-4.3.3.tar.zst,67463227,385239040,788.4302
gcc-4.3.4.tar.zst,67506666,385525760,707.0115
gcc-4.3.5.tar.zst,67500744,385576960,849.7943
gcc-4.3.6.tar.zst,67501692,385607680,825.1939
gcc-4.4.0.tar.zst,71279786,405862400,294.5851
gcc-4.4.1.tar.zst,71358053,406220800,141.5133
gcc-4.4.2.tar.zst,71420362,406599680,43.7429
gcc-4.4.3.tar.zst,71474868,406988800,39.3247
gcc-4.4.4.tar.zst,71527587,407296000,843.1090
gcc-4.4.5.tar.zst,71571623,407552000,758.2461
gcc-4.4.6.tar.zst,71598313,407685120,596.4671
gcc-4.4.7.tar.zst,71631224,407787520,779.0891
gcc-4.5.0.tar.zst,75025792,424509440,732.4939
gcc-4.5.1.tar.zst,75138488,425216000,792.9873
gcc-4.5.2.tar.zst,75292456,426588160,163.7080
gcc-4.5.3.tar.zst,75346898,426895360,73.4242
gcc-4.5.4.tar.zst,75388495,427171840,35.8470
gcc-4.6.0.tar.zst,81402722,463646720,826.0298
gcc-4.6.1.tar.zst,81538136,465131520,784.3199
gcc-4.6.2.tar.zst,81831124,466585600,754.4584
gcc-4.6.3.tar.zst,81902869,466892800,804.5970
gcc-4.6.4.tar.zst,81944604,467118080,206.4501
gcc-4.7.0.tar.zst,92632165,502374400,163.2086
gcc-4.7.1.tar.zst,92729399,503152640,18.8854
gcc-4.7.2.tar.zst,92875169,504535040,779.9968
gcc-4.7.3.tar.zst,92945865,505006080,799.0837
gcc-4.7.4.tar.zst,92995604,505292800,705.7238
gcc-4.8.0.tar.zst,97060535,527882240,815.0859
gcc-4.8.1.tar.zst,97166409,528261120,296.8072
gcc-4.8.2.tar.zst,96402524,524195840,31.0779
gcc-4.8.3.tar.zst,96690675,525803520,28.1972
gcc-4.8.4.tar.zst,96715067,526131200,735.1819
gcc-4.8.5.tar.zst,96767095,526438400,818.7262
gcc-4.9.0.tar.zst,100961901,551208960,639.2271
gcc-4.9.1.tar.zst,101103668,552140800,796.6192
gcc-4.9.2.tar.zst,101182784,552632320,148.0940
gcc-4.9.3.tar.zst,101331820,553369600,16.2484
gcc-4.9.4.tar.zst,101453685,553871360,820.0939
gcc-5.1.0.tar.zst,106871755,585861120,797.5207
gcc-5.2.0.tar.zst,107006399,587038720,759.4731
gcc-5.3.0.tar.zst,107199424,589137920,846.2453
gcc-5.4.0.tar.zst,107239112,589987840,747.7295
gcc-5.5.0.tar.zst,107911366,592128000,58.1552
gcc-6.1.0.tar.zst,112716907,618496000,22.6930
gcc-6.2.0.tar.zst,112869198,620339200,818.8193
gcc-6.3.0.tar.zst,113007278,621127680,805.5176
gcc-6.4.0.tar.zst,113055663,621803520,832.8172
gcc-6.5.0.tar.zst,113255898,622899200,271.2439
gcc-7.1.0.tar.zst,93288662,505825280,39.8073
gcc-7.2.0.tar.zst,93409514,506357760,39.1964
gcc-7.3.0.tar.zst,93604530,507330560,803.8466
gcc-7.4.0.tar.zst,93878616,508303360,714.6525
gcc-7.5.0.tar.zst,94083649,509655040,756.3283
gcc-8.1.0.tar.zst,98051457,533708800,755.0270
gcc-8.2.0.tar.zst,98346504,534384640,323.4028
gcc-8.3.0.tar.zst,98324805,535162880,125.0344
gcc-8.4.0.tar.zst,98481790,536821760,28.5450
gcc-8.5.0.tar.zst,98582639,537978880,771.2532
gcc-9.1.0.tar.zst,107771054,586137600,824.4691
gcc-9.2.0.tar.zst,107857651,587028480,823.2928
gcc-9.3.0.tar.zst,108296708,588134400,791.5569
gcc-9.4.0.tar.zst,108565463,589998080,155.1599

Total_decompressed_files: 117
Mean_throughput_MiB_s: 520.8279
Std_dev_MiB_s: 322.3193
95%_CI_MiB_s: [462.4230, 579.2328]
