filename,original_bytes,compressed_bytes,compression_ratio,throughput_MiB_s
v2.6.11.tar,208250880,45206555,4.6066,188.1267
v2.6.12-rc2.tar,210882560,44985536,4.6877,204.7895
v2.6.12-rc3.tar,211527680,45147765,4.6852,200.5828
v2.6.12-rc4.tar,211978240,45295454,4.6799,199.3807
v2.6.12-rc5.tar,212111360,45339365,4.6783,202.8664
v2.6.12-rc6.tar,212705280,45484193,4.6764,207.7700
v2.6.12.tar,212725760,46109413,4.6134,206.7555
v2.6.13-rc1.tar,215951360,46191043,4.6751,212.1525
v2.6.13-rc2.tar,215869440,46166104,4.6759,205.8002
v2.6.13-rc3.tar,216565760,46312670,4.6761,212.1957
v2.6.13-rc4.tar,219248640,46647538,4.7001,209.6970
v2.6.13-rc5.tar,219361280,46670499,4.7002,204.4904
v2.6.13-rc6.tar,219402240,46685182,4.6996,208.7174
v2.6.13-rc7.tar,219432960,46689428,4.6998,204.9747
v2.6.13.tar,219432960,47454399,4.6240,210.9144
v2.6.14-rc1.tar,223098880,47556868,4.6912,211.9447
v2.6.14-rc2.tar,223334400,47609637,4.6909,208.1965
v2.6.14-rc3.tar,223825920,47757675,4.6867,207.3734
v2.6.14-rc4.tar,224071680,47843603,4.6834,214.5913
v2.6.14-rc5.tar,224081920,47849038,4.6831,202.0333
v2.6.14.tar,224092160,48505483,4.6199,207.1539
v2.6.15-rc1.tar,228259840,48636860,4.6931,208.9159
v2.6.15-rc2.tar,228147200,48623442,4.6921,210.9950
v2.6.15-rc3.tar,228167680,48638603,4.6910,210.6458
v2.6.15-rc4.tar,228188160,48640525,4.6913,209.0398
v2.6.15-rc5.tar,228167680,48634496,4.6914,207.6414
v2.6.15-rc6.tar,228147200,48633529,4.6911,212.8112
v2.6.15-rc7.tar,228157440,48636139,4.6911,208.8650
v2.6.15.tar,228157440,49295219,4.6283,208.4400
v2.6.16-rc1.tar,233103360,49637878,4.6960,215.8328
v2.6.16-rc2.tar,233676800,49752226,4.6968,212.5130
v2.6.16-rc3.tar,233871360,49828583,4.6935,210.9959
v2.6.16-rc4.tar,233932800,49853901,4.6923,210.0852
v2.6.16-rc5.tar,233912320,49843412,4.6929,212.2255
v2.6.16-rc6.tar,233932800,49853956,4.6923,211.8483
v2.6.16.tar,233953280,50559280,4.6273,208.4844
v2.6.17-rc1.tar,237701120,50624861,4.6953,213.2750
v2.6.17-rc2.tar,236298240,50398434,4.6886,212.5796
v2.6.17-rc3.tar,236359680,50415172,4.6882,203.1754
v2.6.17-rc4.tar,236451840,50432487,4.6884,204.7798
v2.6.17-rc5.tar,236584960,50476106,4.6870,207.0753
v2.6.17-rc6.tar,236595200,50477615,4.6871,205.1002
v2.6.17.tar,236605440,51119795,4.6284,206.2532
v2.6.18-rc1.tar,239411200,50951405,4.6988,207.6389
v2.6.18-rc2.tar,239656960,51000886,4.6990,211.1567
v2.6.18-rc3.tar,239667200,51007057,4.6987,207.4068
