filename,compressed_bytes,restored_bytes,throughput_MiB_s
v2.6.11.tar.zst,45206555,208250880,567.9362
v2.6.12-rc2.tar.zst,44985536,210882560,639.5825
v2.6.12-rc3.tar.zst,45147765,211527680,707.4388
v2.6.12-rc4.tar.zst,45295454,211978240,686.4239
v2.6.12-rc5.tar.zst,45339365,212111360,611.2826
v2.6.12-rc6.tar.zst,45484193,212705280,593.0296
v2.6.12.tar.zst,46109413,212725760,146.0201
v2.6.13-rc1.tar.zst,46191043,215951360,658.6804
v2.6.13-rc2.tar.zst,46166104,215869440,692.1550
v2.6.13-rc3.tar.zst,46312670,216565760,693.6334
v2.6.13-rc4.tar.zst,46647538,219248640,144.0043
v2.6.13-rc5.tar.zst,46670499,219361280,88.8225
v2.6.13-rc6.tar.zst,46685182,219402240,15.6233
v2.6.13-rc7.tar.zst,46689428,219432960,571.3776
v2.6.13.tar.zst,47454399,219432960,576.5336
v2.6.14-rc1.tar.zst,47556868,223098880,723.1923
v2.6.14-rc2.tar.zst,47609637,223334400,726.5213
v2.6.14-rc3.tar.zst,47757675,223825920,723.9491
v2.6.14-rc4.tar.zst,47843603,224071680,758.2080
v2.6.14-rc5.tar.zst,47849038,224081920,719.3126
v2.6.14.tar.zst,48505483,224092160,719.6814
v2.6.15-rc1.tar.zst,48636860,228259840,676.7344
v2.6.15-rc2.tar.zst,48623442,228147200,729.5410
v2.6.15-rc3.tar.zst,48638603,228167680,722.7016
v2.6.15-rc4.tar.zst,48640525,228188160,163.7760
v2.6.15-rc5.tar.zst,48634496,228167680,109.8419
v2.6.15-rc6.tar.zst,48633529,228147200,191.7208
v2.6.15-rc7.tar.zst,48636139,228157440,33.0353
v2.6.15.tar.zst,49295219,228157440,32.5154
v2.6.16-rc1.tar.zst,49637878,233103360,757.9732
v2.6.16-rc2.tar.zst,49752226,233676800,759.7911
v2.6.16-rc3.tar.zst,49828583,233871360,748.0624
v2.6.16-rc4.tar.zst,49853901,233932800,754.9529
v2.6.16-rc5.tar.zst,49843412,233912320,781.9014
v2.6.16-rc6.tar.zst,49853956,233932800,760.0267
v2.6.16.tar.zst,50559280,233953280,736.2330
v2.6.17-rc1.tar.zst,50624861,237701120,636.5015
v2.6.17-rc2.tar.zst,50398434,236298240,256.5942
v2.6.17-rc3.tar.zst,50415172,236359680,121.8793
v2.6.17-rc4.tar.zst,50432487,236451840,170.6537
v2.6.17-rc5.tar.zst,50476106,236584960,142.8271
v2.6.17-rc6.tar.zst,50477615,236595200,20.0725
v2.6.17.tar.zst,51119795,236605440,682.3391
v2.6.18-rc1.tar.zst,50951405,239411200,767.9806
v2.6.18-rc2.tar.zst,51000886,239656960,598.8904
v2.6.18-rc3.tar.zst,51007057,239667200,730.3634
v2.6.18-rc4.tar.zst,51014113,239728640,787.9069
v2.6.18-rc5.tar.zst,51101435,240056320,739.0471
v2.6.18-rc6.tar.zst,51117156,240107520,758.5921
v2.6.18-rc7.tar.zst,51121809,240117760,617.0916
v2.6.18.tar.zst,51856674,240138240,168.0944
v2.6.19-rc1.tar.zst,52110967,245381120,139.1406
v2.6.19-rc2.tar.zst,52169931,246159360,107.9447
v2.6.19-rc3.tar.zst,52213852,246384640,17.9230
v2.6.19-rc4.tar.zst,52215185,246425600,618.6580
v2.6.19-rc5.tar.zst,52219388,246425600,742.6085
v2.6.19-rc6.tar.zst,52225522,246446080,750.1205
v2.6.19.tar.zst,53106835,246466560,725.1526
v2.6.20-rc1.tar.zst,52936616,249989120,698.8314
v2.6.20-rc2.tar.zst,52943178,250019840,729.4714
v2.6.20-rc3.tar.zst,52939196,250030080,751.0410
v2.6.20-rc4.tar.zst,52945747,250091520,751.9668
v2.6.20-rc5.tar.zst,52949989,250132480,265.8441
v2.6.20-rc6.tar.zst,52957944,250286080,182.9505
v2.6.20-rc7.tar.zst,52962798,250306560,127.9875
v2.6.20.tar.zst,53831950,250316800,146.5878
v2.6.21-rc1.tar.zst,53605264,254126080,19.6035
v2.6.21-rc2.tar.zst,53661639,254361600,287.5458
v2.6.21-rc3.tar.zst,53668708,254382080,673.9129
v2.6.21-rc4.tar.zst,53661533,254361600,596.6425
v2.6.21-rc5.tar.zst,53685284,254402560,732.8840
v2.6.21-rc6.tar.zst,53672445,254371840,740.8824
v2.6.21-rc7.tar.zst,53679171,254392320,673.0956
v2.6.21.tar.zst,54696101,254402560,757.8248
v2.6.22.tar.zst,56022858,262922240,192.3205
v2.6.23.tar.zst,56613171,264704000,138.7785
v2.6.24.tar.zst,58147137,272834560,161.5249
v2.6.25.tar.zst,60466352,284651520,20.6771
v2.6.26.tar.zst,61441093,289576960,742.9757
v2.6.27.tar.zst,62554370,293826560,767.8419
v2.6.28.tar.zst,65508068,310261760,618.7660
v2.6.29.tar.zst,70389649,336179200,687.3475
v2.6.30.tar.zst,73886089,353146880,739.8350
v2.6.31.tar.zst,76402812,365711360,670.4964
v2.6.32.tar.zst,79843493,382392320,176.8870
v2.6.33.tar.zst,82345683,395100160,128.7042
v2.6.34.tar.zst,84175169,404674560,28.6282
v2.6.35.tar.zst,86418958,412897280,721.4562
v2.6.36.tar.zst,87811814,413655040,663.3606
v2.6.37.tar.zst,91807232,431349760,757.6260
v2.6.38.tar.zst,93460999,440494080,687.2738
v2.6.39.tar.zst,95275649,449597440,378.5579
v3.0.tar.zst,96085457,450979840,137.7330
v3.10.tar.zst,109421617,521564160,18.6654
v3.11.tar.zst,112227014,534128640,699.1219
v3.12.tar.zst,114312864,543969280,738.9893
v3.13.tar.zst,115516782,549816320,733.3143
v3.14.tar.zst,117509986,560056320,776.6358
v3.15.tar.zst,119558817,571514880,735.7389
v3.16.tar.zst,120925680,578662400,99.7187
v3.17.tar.zst,120564983,576604160,19.8329
v3.18.tar.zst,121430100,580423680,723.1015
v3.19.tar.zst,122251918,584458240,732.5042
v3.1.tar.zst,96725256,454471680,748.3411
v3.2.tar.zst,97749591,460912640,743.5208
v3.3.tar.zst,98904149,466083840,70.9286
v3.4.tar.zst,100186119,472565760,303.5790
v3.5.tar.zst,101383949,479723520,30.0931
v3.6.tar.zst,103074781,489205760,26.2644
v3.7.tar.zst,104750777,499025920,762.0946
v3.8.tar.zst,106123911,505661440,697.2467
v3.9.tar.zst,107891644,513832960,762.6346
v4.0.tar.zst,123386400,589998080,787.7492
v4.10.tar.zst,142055185,713103360,151.6464
v4.11.tar.zst,143831999,722278400,27.0110
v4.12.tar.zst,148959321,779735040,758.2033
v4.13.tar.zst,151927588,818032640,797.5107
v4.14.tar.zst,152235314,825057280,255.1762
v4.15.tar.zst,154110343,834355200,27.3760
v4.16.tar.zst,155418354,835942400,786.5763
v4.17.tar.zst,154577329,833812480,780.9935
v4.18.tar.zst,154117283,829931520,786.7189
v4.19.tar.zst,156158326,839464960,35.1722
v4.1.tar.zst,124588478,595927040,66.3873
v4.20.tar.zst,157950699,854773760,816.1708
v4.2.tar.zst,128522866,630958080,724.5722
v4.3.tar.zst,130387298,640839680,680.6500
v4.4.tar.zst,131269669,648355840,122.4231
v4.5.tar.zst,132739953,658053120,25.6360
v4.6.tar.zst,134457633,666204160,678.4793
v4.7.tar.zst,136069720,676976640,770.9505
v4.8.tar.zst,138216059,686970880,708.2163
v4.9.tar.zst,139943835,695582720,127.8851
v5.0.tar.zst,159404167,863303680,33.7180
v5.10-rc1.tar.zst,175586305,1019627520,845.5949
v5.10-rc2.tar.zst,175399350,1018900480,858.2911
v5.10-rc3.tar.zst,175402606,1018951680,31.1736
v5.10-rc4.tar.zst,175458504,1019064320,810.1644
v5.10-rc5.tar.zst,175467236,1019136000,826.9825
v5.10-rc6.tar.zst,175467380,1019207680,214.2918
v5.10-rc7.tar.zst,175463888,1019217920,34.6760
v5.10.tar.zst,175487759,1019238400,775.9844
v5.11-rc1.tar.zst,177872382,1063905280,836.2705
v5.11-rc2.tar.zst,177881034,1063905280,33.0929
v5.11-rc3.tar.zst,177891726,1063956480,843.8603
v5.11-rc4.tar.zst,177926077,1064048640,771.8255
v5.11-rc5.tar.zst,177936219,1064079360,184.2570
v5.11-rc6.tar.zst,177934113,1064130560,41.2887
v5.11-rc7.tar.zst,177950406,1064192000,811.1255
v5.11.tar.zst,177951426,1064212480,259.6737
v5.12-rc1-dontuse.tar.zst,178754164,1070069760,33.9493
v5.12-rc2.tar.zst,178773089,1070110720,805.8032
v5.12-rc3.tar.zst,178789079,1070172160,871.4209
v5.12-rc4.tar.zst,178801153,1070182400,32.9397
v5.12-rc5.tar.zst,178808564,1070254080,813.7100
v5.12-rc6.tar.zst,178792352,1070264320,819.6263
