filename,original_bytes,compressed_bytes,compression_ratio,throughput_MiB_s
netty-4.1.100.Final.tar,23521280,3046795,7.7200,88.4311
netty-4.1.101.Final.tar,23562240,3052150,7.7198,173.6435
netty-4.1.102.Final.tar,23664640,3080153,7.6829,170.6660
netty-4.1.103.Final.tar,23664640,3080386,7.6823,195.7168
netty-4.1.104.Final.tar,23664640,3079915,7.6835,195.6378
netty-4.1.105.Final.tar,23695360,3084013,7.6832,183.1149
netty-4.1.106.Final.tar,23695360,3085204,7.6803,182.4237
netty-4.1.107.Final.tar,23767040,3094136,7.6813,195.8856
netty-4.1.108.Final.tar,23838720,3106041,7.6749,196.2753
netty-4.1.109.Final.tar,23920640,3116688,7.6750,197.4796
netty-4.1.110.Final.tar,24043520,3132152,7.6763,186.4689
netty-4.1.111.Final.tar,24084480,3135573,7.6810,189.7184
netty-4.1.112.Final.tar,24115200,3140492,7.6787,178.4571
netty-4.1.113.Final.tar,24145920,3143648,7.6808,201.2021
netty-4.1.114.Final.tar,24238080,3156426,7.6789,198.8211
netty-4.1.115.Final.tar,24268800,3161570,7.6761,190.4530
netty-4.1.116.Final.tar,24340480,3170364,7.6775,190.2465
netty-4.1.117.Final.tar,24350720,3172846,7.6747,181.6096
netty-4.1.118.Final.tar,24371200,3174958,7.6760,201.5034
netty-4.1.119.Final.tar,24391680,3178529,7.6738,201.8274
netty-4.1.120.Final.tar,24412160,3182742,7.6701,192.9927
netty-4.1.121.Final.tar,24412160,3182916,7.6697,190.3980
netty-4.1.122.Final.tar,24524800,3186876,7.6955,177.8628
netty-4.1.123.Final.tar,24514560,3188595,7.6882,180.9526
netty-4.1.45.Final.tar,19886080,2566636,7.7479,204.6934
netty-4.1.46.Final.tar,19957760,2577862,7.7419,176.9244
netty-4.1.47.Final.tar,19998720,2579454,7.7530,191.1188
netty-4.1.48.Final.tar,20019200,2582104,7.7530,178.1916
netty-4.1.49.Final.tar,20346880,2635078,7.7215,176.3828
netty-4.1.50.Final.tar,20428800,2644660,7.7245,199.7027
netty-4.1.51.Final.tar,20510720,2655282,7.7244,197.9099
netty-4.1.52.Final.tar,20725760,2688104,7.7101,196.8711
netty-4.1.53.Final.tar,20879360,2724330,7.6640,202.8561
netty-4.1.54.Final.tar,21002240,2738363,7.6696,193.1116
netty-4.1.55.Final.tar,21084160,2748147,7.6721,185.3377
netty-4.1.56.Final.tar,21094400,2749253,7.6727,203.9677
netty-4.1.57.Final.tar,21166080,2759233,7.6710,204.7483
netty-4.1.58.Final.tar,21145600,2757382,7.6687,203.8521
netty-4.1.59.Final.tar,21227520,2768655,7.6670,204.9140
netty-4.1.60.Final.tar,21360640,2793071,7.6477,175.3564
netty-4.1.61.Final.tar,21401600,2799143,7.6457,177.9744
netty-4.1.62.Final.tar,21401600,2798448,7.6476,205.9438
