filename,compressed_bytes,restored_bytes,throughput_MiB_s
netty-4.1.100.Final.tar.zst,3046795,23521280,403.6742
netty-4.1.101.Final.tar.zst,3052150,23562240,906.8506
netty-4.1.102.Final.tar.zst,3080153,23664640,903.3875
netty-4.1.103.Final.tar.zst,3080386,23664640,912.0362
netty-4.1.104.Final.tar.zst,3079915,23664640,906.3299
netty-4.1.105.Final.tar.zst,3084013,23695360,919.4467
netty-4.1.106.Final.tar.zst,3085204,23695360,916.0299
netty-4.1.107.Final.tar.zst,3094136,23767040,908.7471
netty-4.1.108.Final.tar.zst,3106041,23838720,914.7486
netty-4.1.109.Final.tar.zst,3116688,23920640,853.2100
netty-4.1.110.Final.tar.zst,3132152,24043520,914.1222
netty-4.1.111.Final.tar.zst,3135573,24084480,918.9786
netty-4.1.112.Final.tar.zst,3140492,24115200,921.8901
netty-4.1.113.Final.tar.zst,3143648,24145920,906.2921
netty-4.1.114.Final.tar.zst,3156426,24238080,911.0176
netty-4.1.115.Final.tar.zst,3161570,24268800,924.8781
netty-4.1.116.Final.tar.zst,3170364,24340480,922.0391
netty-4.1.117.Final.tar.zst,3172846,24350720,925.4400
netty-4.1.118.Final.tar.zst,3174958,24371200,912.5333
netty-4.1.119.Final.tar.zst,3178529,24391680,927.6093
netty-4.1.120.Final.tar.zst,3182742,24412160,930.6780
netty-4.1.121.Final.tar.zst,3182916,24412160,916.6349
netty-4.1.122.Final.tar.zst,3186876,24524800,928.5583
netty-4.1.123.Final.tar.zst,3188595,24514560,915.4093
netty-4.1.45.Final.tar.zst,2566636,19886080,892.8764
netty-4.1.46.Final.tar.zst,2577862,19957760,895.4759
netty-4.1.47.Final.tar.zst,2579454,19998720,900.4218
netty-4.1.48.Final.tar.zst,2582104,20019200,909.8317
netty-4.1.49.Final.tar.zst,2635078,20346880,900.9333
netty-4.1.50.Final.tar.zst,2644660,20428800,911.4379
netty-4.1.51.Final.tar.zst,2655282,20510720,909.3901
netty-4.1.52.Final.tar.zst,2688104,20725760,900.8067
netty-4.1.53.Final.tar.zst,2724330,20879360,909.5895
netty-4.1.54.Final.tar.zst,2738363,21002240,910.3857
netty-4.1.55.Final.tar.zst,2748147,21084160,910.8257
netty-4.1.56.Final.tar.zst,2749253,21094400,905.6498
netty-4.1.57.Final.tar.zst,2759233,21166080,911.2999
netty-4.1.58.Final.tar.zst,2757382,21145600,897.1252
netty-4.1.59.Final.tar.zst,2768655,21227520,913.8346
netty-4.1.60.Final.tar.zst,2793071,21360640,917.1583
netty-4.1.61.Final.tar.zst,2799143,21401600,903.9816
netty-4.1.62.Final.tar.zst,2798448,21401600,910.2253
netty-4.1.63.Final.tar.zst,2799701,21411840,901.9065
netty-4.1.64.Final.tar.zst,2853520,21678080,904.4350
netty-4.1.65.Final.tar.zst,2856039,21708800,912.2018
netty-4.1.66.Final.tar.zst,2854477,22097920,613.9123
netty-4.1.67.Final.tar.zst,2861724,22159360,908.3710
netty-4.1.68.Final.tar.zst,2872906,22200320,907.0366
netty-4.1.69.Final.tar.zst,2876905,22220800,920.2544
netty-4.1.70.Final.tar.zst,2880105,22251520,925.3952
netty-4.1.71.Final.tar.zst,2881434,22282240,915.4006
netty-4.1.72.Final.tar.zst,2881764,22292480,918.7470
netty-4.1.73.Final.tar.zst,2886434,22333440,914.5085
