filename,original_bytes,compressed_bytes,compression_ratio,throughput_MiB_s
v0.13.3.tar,34846720,24893250,1.3998,148.4406
v0.14.0-beta1.tar,35932160,25657362,1.4004,169.8263
v0.14.0-beta2.tar,35717120,25253545,1.4143,185.2839
v0.14.0-beta3.tar,35717120,25338797,1.4095,185.6259
v0.14.0-rc1.tar,38809600,27626253,1.4048,186.3341
v0.14.0.tar,38799360,28023342,1.3845,178.7086
v0.14.1.tar,39393280,28504309,1.3820,184.4398
v0.14.2.tar,39905280,29080418,1.3722,180.3481
v0.14.3.tar,40683520,29651864,1.3720,189.2338
v0.14.4.tar,41267200,29950174,1.3778,188.8613
v0.14.5.tar,41830400,30433726,1.3744,183.1182
v0.14.6.tar,42393600,30727267,1.3796,185.0891
v0.14.7.tar,43038720,31037880,1.3866,179.9320
v0.14.8.tar,43991040,31749345,1.3855,190.1797
v15.0.0-rc.1.tar,44021760,31797595,1.3844,207.6756
v15.0.0-rc.2.tar,44625920,32311967,1.3810,209.4976
v15.0.0.tar,45772800,32866378,1.3926,207.8198
v15.0.1.tar,46919680,33624105,1.3954,200.1936
v15.0.2.tar,47544320,34116621,1.3935,187.0127
v15.1.0.tar,48220160,34545673,1.3958,189.7611
v15.2.0.tar,49213440,35153149,1.3999,185.5942
v15.2.1.tar,49889280,35637279,1.3999,189.1914
v15.3.0.tar,51496960,37081594,1.3887,206.5076
v15.3.1.tar,52080640,37724780,1.3805,211.1770
v15.3.2.tar,52674560,38385382,1.3722,210.9102
v15.4.0-rc.3.tar,54292480,39721947,1.3668,222.9302
v15.4.0.tar,53729280,40154008,1.3380,195.8524
v15.4.1.tar,54497280,40741061,1.3376,202.7999
v15.4.2.tar,55152640,41231833,1.3376,209.6955
v15.5.0.tar,56412160,41266630,1.3670,212.8658
v15.5.1.tar,56453120,41328600,1.3659,214.3262
v15.5.2.tar,56453120,41406945,1.3633,214.5027
v15.5.3.tar,56453120,41407014,1.3633,214.9807
v15.5.4.tar,56238080,41363133,1.3596,215.0203
v15.6.0.tar,61132800,44710459,1.3673,211.1375
v15.6.1.tar,61194240,44547669,1.3736,218.1661
v15.6.2.tar,59371520,43255048,1.3725,213.8276
v15.7.0.tar,31713280,6270582,5.0574,185.1563
v16.0.0-alpha.3.tar,56442880,41704858,1.3533,214.8529
v16.0.0-alpha.4.tar,56412160,41379954,1.3632,200.4423
v16.0.0-rc.1.tar,61358080,43439083,1.4125,210.6530
v16.0.0-rc.2.tar,61358080,43439162,1.4125,206.0453
v16.0.0.tar,61347840,43433489,1.4124,218.8583
v16.10.0.tar,15964160,4086703,3.9063,167.7978
v16.10.1.tar,15964160,4086468,3.9065,165.5409
v16.10.2.tar,15964160,4086827,3.9062,165.8875
v16.1.0.tar,6696960,962794,6.9557,92.8040
v16.11.0.tar,16046080,4102269,3.9115,141.4963
v16.1.1.tar,6707200,965847,6.9443,108.3608
v16.12.0.tar,16506880,4194787,3.9350,143.5940
v16.13.0.tar,16732160,4241417,3.9449,157.4136
v16.13.1.tar,16721920,4238793,3.9449,166.0923
v16.14.0.tar,31713280,6271537,5.0566,205.7926
v16.2.0.tar,7004160,982902,7.1260,115.4596
v16.3.0-alpha.0.tar,9021440,2950911,3.0571,107.3168
v16.3.0-alpha.1.tar,9062400,2955779,3.0659,128.8673
v16.3.0-alpha.2.tar,9195520,2972164,3.0938,148.0047
v16.3.0-alpha.3.tar,9205760,2975514,3.0938,130.9762
v16.3.0-rc.0.tar,9226240,2978156,3.0979,115.0358
v16.3.0.tar,9246720,2979386,3.1035,130.6362
v16.3.1.tar,9267200,2982059,3.1076,117.3644
v16.3.2.tar,9256960,2984186,3.1020,130.3945
v16.4.0-alpha.16.4.0-alpha.7926752.tar,9512960,3022745,3.1471,150.8850
v16.4.0-alpha.5a25959.tar,9185280,2973379,3.0891,133.5952
v16.4.0-alpha.94a255d.tar,9195520,2974581,3.0913,147.5354
v16.4.0.tar,9523200,3026205,3.1469,132.7512
v16.4.1.tar,9584640,3036548,3.1564,153.1925
v16.4.2.tar,9594880,3037206,3.1591,135.4182
v16.5.0.tar,10803200,3331194,3.2430,130.4796
v16.5.1.tar,10854400,3337678,3.2520,156.1691
v16.5.2.tar,10864640,3338644,3.2542,153.1625
v16.6.0-alpha.0.tar,10864640,3338994,3.2538,136.7395
v16.6.0-alpha.400d197.tar,11171840,3377498,3.3077,155.0705
v16.6.0-alpha.8af6728.tar,11048960,3357702,3.2906,140.4869
v16.6.0.tar,11161600,3374953,3.3071,132.7425
v16.6.1.tar,11417600,3421200,3.3373,149.5870
v16.6.3.tar,11458560,3430553,3.3401,161.1236
v16.7.0-alpha.1.tar,11479040,3434756,3.3420,164.0237
v16.7.0.tar,11755520,3473299,3.3845,162.2346
v16.8.0-alpha.1.tar,11776000,3476106,3.3876,168.5803
v16.8.0.tar,11960320,3511237,3.4062,139.7272
v16.8.1.tar,11960320,3512364,3.4052,155.2730
v16.8.2.tar,12021760,3520937,3.4143,177.5306
v16.8.3.tar,12032000,3522256,3.4159,161.2744
v16.8.4.tar,12042240,3524125,3.4170,177.1760
v16.8.5.tar,12113920,3530299,3.4314,162.1601
