filename,compressed_bytes,restored_bytes,throughput_MiB_s
v0.13.3.tar.zst,24893250,34846720,657.8804
v0.14.0-beta1.tar.zst,25657362,35932160,1298.6361
v0.14.0-beta2.tar.zst,25253545,35717120,1285.6416
v0.14.0-beta3.tar.zst,25338797,35717120,1264.4952
v0.14.0-rc1.tar.zst,27626253,38809600,1293.2657
v0.14.0.tar.zst,28023342,38799360,1295.7759
v0.14.1.tar.zst,28504309,39393280,1303.7160
v0.14.2.tar.zst,29080418,39905280,1317.4845
v0.14.3.tar.zst,29651864,40683520,1324.2747
v0.14.4.tar.zst,29950174,41267200,1312.7079
v0.14.5.tar.zst,30433726,41830400,1316.1349
v0.14.6.tar.zst,30727267,42393600,1305.1803
v0.14.7.tar.zst,31037880,43038720,1313.0193
v0.14.8.tar.zst,31749345,43991040,1329.7380
v15.0.0-rc.1.tar.zst,31797595,44021760,1311.8287
v15.0.0-rc.2.tar.zst,32311967,44625920,1293.4792
v15.0.0.tar.zst,32866378,45772800,1330.8883
v15.0.1.tar.zst,33624105,46919680,1338.8525
v15.0.2.tar.zst,34116621,47544320,1322.6145
v15.1.0.tar.zst,34545673,48220160,1343.8444
v15.2.0.tar.zst,35153149,49213440,1320.7452
v15.2.1.tar.zst,35637279,49889280,1320.9293
v15.3.0.tar.zst,37081594,51496960,1321.7976
v15.3.1.tar.zst,37724780,52080640,1323.7558
v15.3.2.tar.zst,38385382,52674560,1347.4775
v15.4.0-rc.3.tar.zst,39721947,54292480,1346.5173
v15.4.0.tar.zst,40154008,53729280,1356.2769
v15.4.1.tar.zst,40741061,54497280,1342.0652
v15.4.2.tar.zst,41231833,55152640,1374.2085
v15.5.0.tar.zst,41266630,56412160,1344.7864
v15.5.1.tar.zst,41328600,56453120,1385.2318
v15.5.2.tar.zst,41406945,56453120,1354.7915
v15.5.3.tar.zst,41407014,56453120,1372.5949
v15.5.4.tar.zst,41363133,56238080,1358.2384
v15.6.0.tar.zst,44710459,61132800,1429.2946
v15.6.1.tar.zst,44547669,61194240,1409.3816
v15.6.2.tar.zst,43255048,59371520,1391.7507
v15.7.0.tar.zst,6270582,31713280,968.0879
v16.0.0-alpha.3.tar.zst,41704858,56442880,1354.0097
v16.0.0-alpha.4.tar.zst,41379954,56412160,1371.9466
v16.0.0-rc.1.tar.zst,43439083,61358080,1410.3475
v16.0.0-rc.2.tar.zst,43439162,61358080,1404.9427
v16.0.0.tar.zst,43433489,61347840,1374.9335
v16.10.0.tar.zst,4086703,15964160,883.8196
v16.10.1.tar.zst,4086468,15964160,872.0858
v16.10.2.tar.zst,4086827,15964160,877.8015
v16.1.0.tar.zst,962794,6696960,742.2195
v16.11.0.tar.zst,4102269,16046080,890.9449
v16.1.1.tar.zst,965847,6707200,746.8671
v16.12.0.tar.zst,4194787,16506880,876.4333
v16.13.0.tar.zst,4241417,16732160,875.0426
v16.13.1.tar.zst,4238793,16721920,871.1207
v16.14.0.tar.zst,6271537,31713280,967.1942
v16.2.0.tar.zst,982902,7004160,755.3665
v16.3.0-alpha.0.tar.zst,2950911,9021440,852.8903
v16.3.0-alpha.1.tar.zst,2955779,9062400,843.4355
v16.3.0-alpha.2.tar.zst,2972164,9195520,837.5261
v16.3.0-alpha.3.tar.zst,2975514,9205760,845.4591
v16.3.0-rc.0.tar.zst,2978156,9226240,855.3337
v16.3.0.tar.zst,2979386,9246720,861.8733
v16.3.1.tar.zst,2982059,9267200,844.0464
v16.3.2.tar.zst,2984186,9256960,856.6168
v16.4.0-alpha.16.4.0-alpha.7926752.tar.zst,3022745,9512960,846.8163
v16.4.0-alpha.5a25959.tar.zst,2973379,9185280,849.9481
v16.4.0-alpha.94a255d.tar.zst,2974581,9195520,853.6721
v16.4.0.tar.zst,3026205,9523200,843.7162
v16.4.1.tar.zst,3036548,9584640,846.1568
v16.4.2.tar.zst,3037206,9594880,850.1737
v16.5.0.tar.zst,3331194,10803200,868.9124
v16.5.1.tar.zst,3337678,10854400,863.9093
v16.5.2.tar.zst,3338644,10864640,874.0349
v16.6.0-alpha.0.tar.zst,3338994,10864640,864.5944
v16.6.0-alpha.400d197.tar.zst,3377498,11171840,865.4017
v16.6.0-alpha.8af6728.tar.zst,3357702,11048960,874.4804
v16.6.0.tar.zst,3374953,11161600,879.6234
v16.6.1.tar.zst,3421200,11417600,883.1005
v16.6.3.tar.zst,3430553,11458560,868.3507
v16.7.0-alpha.1.tar.zst,3434756,11479040,826.1951
v16.7.0.tar.zst,3473299,11755520,872.2892
v16.8.0-alpha.1.tar.zst,3476106,11776000,879.1776
v16.8.0.tar.zst,3511237,11960320,876.7818
v16.8.1.tar.zst,3512364,11960320,887.1691
v16.8.2.tar.zst,3520937,12021760,883.5848
v16.8.3.tar.zst,3522256,12032000,878.6927
v16.8.4.tar.zst,3524125,12042240,883.8294
v16.8.5.tar.zst,3530299,12113920,881.0634
v16.8.6.tar.zst,3532856,12124160,877.7506
v16.9.0-alpha.0.tar.zst,3401532,12247040,884.5968
v16.9.0-rc.0.tar.zst,3529669,13025280,887.6481
v16.9.0.tar.zst,3529553,13025280,873.6411
v17.0.0.tar.zst,4735929,19456000,917.5523
v17.0.1.tar.zst,4736094,19456000,900.6528
v17.0.2.tar.zst,4735475,19456000,912.6535
v18.0.0.tar.zst,5479489,24453120,927.8790
v18.1.0.tar.zst,5567557,24668160,927.7495
v18.2.0.tar.zst,5595899,24842240,915.7470
v18.3.0.tar.zst,5601818,24872960,294.9527
v18.3.1.tar.zst,5602231,24872960,925.1154
v19.0.0.tar.zst,7774093,41379840,950.5809
v19.1.0.tar.zst,7841312,37068800,917.5276

Total_decompressed_files: 100
Mean_throughput_MiB_s: 1056.1537
Std_dev_MiB_s: 248.3018
95%_CI_MiB_s: [1007.4865, 1104.8208]
