filename,original_bytes,compressed_bytes,compression_ratio,throughput_MiB_s
2016-06-13.tar,2869463040,180860332,15.8656,241.3408
2016-06-15.tar,2879416320,181646337,15.8517,247.5051
2016-06-16.tar,2857523200,181187717,15.7710,225.9039
2016-06-17.tar,2899824640,182853165,15.8587,240.1593
2016-06-18.tar,2872954880,181867248,15.7969,234.8168
2016-06-20.tar,2905763840,182941946,15.8835,229.0279
2016-06-22.tar,2906142720,182883043,15.8907,241.8409
2016-06-23.tar,2938091520,184084416,15.9605,254.8744
2016-06-24.tar,2920529920,183505952,15.9151,243.5649
2016-06-25.tar,2920038400,183613157,15.9032,242.1546
2016-06-26.tar,2898094080,183031124,15.8338,238.3175
2016-06-27.tar,2896158720,182868151,15.8374,243.0415
2016-06-28.tar,2941347840,184409926,15.9500,238.0199
2016-06-29.tar,2920919040,183622644,15.9071,235.4959
2016-06-30.tar,2942167040,184257578,15.9676,242.1230
2016-07-01.tar,2936832000,183823171,15.9763,243.1970
2016-07-02.tar,2978682880,186060225,16.0092,237.5240
2016-07-03.tar,2999603200,186210756,16.1086,252.1421
2016-07-04.tar,3002122240,186489190,16.0981,243.3368
2016-07-05.tar,2982307840,185384579,16.0871,230.3057
2016-07-06.tar,2932582400,183973335,15.9402,244.5084
2016-07-07.tar,2890680320,182672241,15.8244,220.5473
2016-07-08.tar,2862520320,182081961,15.7210,240.6362
2016-07-09.tar,2851921920,181654953,15.6996,241.8816
2016-07-10.tar,2866923520,182017904,15.7507,235.7648
2016-07-11.tar,2875156480,182451778,15.7584,241.3091
2016-07-12.tar,2865899520,181964465,15.7497,226.6788
2016-07-13.tar,2864680960,181866939,15.7515,236.2840
2016-07-14.tar,2871889920,182076609,15.7729,236.9497
2016-07-15.tar,2876139520,182295900,15.7773,236.2724
2016-07-16.tar,2890772480,183168501,15.7820,235.7236
2016-07-17.tar,2853201920,181784135,15.6955,230.3753
2016-07-18.tar,2818017280,181038315,15.5658,242.2736
2016-07-19.tar,2867015680,182072407,15.7465,244.7368
2016-07-20.tar,2881556480,181989046,15.8336,243.6747
2016-07-21.tar,2894223360,182644482,15.8462,242.5571
2016-07-22.tar,2886604800,181927122,15.8668,241.9508
2016-07-23.tar,2909696000,182438855,15.9488,221.0972
2016-07-24.tar,2886451200,181822936,15.8750,245.5700
2016-07-25.tar,2886840320,182082389,15.8545,241.8848
2016-07-26.tar,2908835840,182584921,15.9314,240.7746
2016-07-27.tar,2886123520,181499442,15.9015,240.1438
2016-07-28.tar,2885232640,181719431,15.8774,245.6351
2016-07-29.tar,2888427520,181685204,15.8979,245.7151
2016-07-30.tar,2872268800,181362503,15.8371,244.9340
2016-07-31.tar,2891018240,181924098,15.8913,230.2153
2016-08-01.tar,2911375360,182112614,15.9866,222.1362
2016-08-02.tar,2911365120,182805706,15.9260,242.0634
2016-08-03.tar,2915768320,183056071,15.9282,232.0265
2016-08-04.tar,2891182080,182470598,15.8446,241.1400
2016-08-05.tar,2914078720,184494583,15.7949,236.9084
2016-08-06.tar,2862192640,182616223,15.6732,243.5831
2016-08-07.tar,2864977920,182489367,15.6994,222.0153
2016-08-08.tar,2885160960,183091908,15.7579,243.9423
2016-08-09.tar,2894878720,183455400,15.7797,242.3814
