filename,compressed_bytes,restored_bytes,throughput_MiB_s
2016-06-13.tar.zst,180860332,2869463040,733.8119
2016-06-15.tar.zst,181646337,2879416320,94.5928
2016-06-16.tar.zst,181187717,2857523200,92.8570
2016-06-17.tar.zst,182853165,2899824640,199.8862
2016-06-18.tar.zst,181867248,2872954880,130.8986
2016-06-20.tar.zst,182941946,2905763840,163.3378
2016-06-22.tar.zst,182883043,2906142720,562.1377
2016-06-23.tar.zst,184084416,2938091520,160.4277
2016-06-24.tar.zst,183505952,2920529920,119.3559
2016-06-25.tar.zst,183613157,2920038400,118.8254
2016-06-26.tar.zst,183031124,2898094080,237.7392
2016-06-27.tar.zst,182868151,2896158720,131.2275
2016-06-28.tar.zst,184409926,2941347840,81.0511
2016-06-29.tar.zst,183622644,2920919040,74.8192
2016-06-30.tar.zst,184257578,2942167040,179.0856
2016-07-01.tar.zst,183823171,2936832000,87.1211
2016-07-02.tar.zst,186060225,2978682880,114.0920
2016-07-03.tar.zst,186210756,2999603200,112.5722
2016-07-04.tar.zst,186489190,3002122240,623.9940
2016-07-05.tar.zst,185384579,2982307840,147.8921
2016-07-06.tar.zst,183973335,2932582400,117.7025
2016-07-07.tar.zst,182672241,2890680320,114.7938
2016-07-08.tar.zst,182081961,2862520320,642.3975
2016-07-09.tar.zst,181654953,2851921920,131.8153
2016-07-10.tar.zst,182017904,2866923520,118.5385
2016-07-11.tar.zst,182451778,2875156480,194.2059
2016-07-12.tar.zst,181964465,2865899520,241.5229
2016-07-13.tar.zst,181866939,2864680960,118.7626
2016-07-14.tar.zst,182076609,2871889920,110.4616
2016-07-15.tar.zst,182295900,2876139520,365.6826
2016-07-16.tar.zst,183168501,2890772480,87.6145
2016-07-17.tar.zst,181784135,2853201920,81.4219
2016-07-18.tar.zst,181038315,2818017280,205.8496
2016-07-19.tar.zst,182072407,2867015680,82.5639
2016-07-20.tar.zst,181989046,2881556480,79.6447
2016-07-21.tar.zst,182644482,2894223360,266.5792
2016-07-22.tar.zst,181927122,2886604800,85.5550
2016-07-23.tar.zst,182438855,2909696000,82.7025
2016-07-24.tar.zst,181822936,2886451200,204.5972
2016-07-25.tar.zst,182082389,2886840320,85.8303
2016-07-26.tar.zst,182584921,2908835840,81.0845
2016-07-27.tar.zst,181499442,2886123520,211.0202
2016-07-28.tar.zst,181719431,2885232640,85.2630
2016-07-29.tar.zst,181685204,2888427520,81.3710
2016-07-30.tar.zst,181362503,2872268800,210.4271
2016-07-31.tar.zst,181924098,2891018240,87.4598
2016-08-01.tar.zst,182112614,2911375360,80.3645
2016-08-02.tar.zst,182805706,2911365120,203.5176
2016-08-03.tar.zst,183056071,2915768320,84.9202
2016-08-04.tar.zst,182470598,2891182080,82.0035
2016-08-05.tar.zst,184494583,2914078720,205.6603
2016-08-06.tar.zst,182616223,2862192640,82.4454
2016-08-07.tar.zst,182489367,2864977920,78.1518
2016-08-08.tar.zst,183091908,2885160960,226.1489
2016-08-09.tar.zst,183455400,2894878720,84.3508
2016-08-10.tar.zst,183932184,2891223040,79.8124
2016-08-11.tar.zst,184261510,2906798080,195.8619
2016-08-12.tar.zst,183764645,2891960320,81.9304
2016-08-13.tar.zst,183609543,2896896000,79.8279
2016-08-14.tar.zst,183602223,2899589120,192.1108
2016-08-15.tar.zst,183504181,2900643840,81.9108
2016-08-16.tar.zst,183899485,2900971520,79.3054
2016-08-17.tar.zst,184462306,2916444160,212.4177
2016-08-18.tar.zst,183616900,2888284160,81.7380
2016-08-19.tar.zst,183933931,2897541120,79.1081
2016-08-20.tar.zst,182789835,2865950720,212.1544
2016-08-21.tar.zst,183697011,2889000960,83.5239
2016-08-22.tar.zst,183305570,2891796480,79.6316
2016-08-23.tar.zst,183364948,2886307840,76.1923
2016-08-24.tar.zst,183871943,2902712320,141.3347
2016-08-25.tar.zst,184663453,2918451200,86.7748
2016-08-26.tar.zst,185241370,2940354560,107.5468
2016-08-27.tar.zst,185080586,2920970240,128.8122
2016-08-28.tar.zst,184461989,2910924800,121.6196
2016-08-29.tar.zst,185627806,2946836480,400.2752
2016-08-30.tar.zst,185962758,2959964160,129.4267
2016-08-31.tar.zst,185744285,2957639680,123.5463
2016-09-01.tar.zst,186198940,2968371200,387.1091
2016-09-02.tar.zst,185906127,2955345920,123.9254
2016-09-03.tar.zst,186372559,2971299840,120.1686
2016-09-04.tar.zst,185354663,2934128640,331.2979
2016-09-05.tar.zst,185047324,2942648320,76.7921
2016-09-06.tar.zst,186377677,2957557760,137.0472
2016-09-07.tar.zst,186588899,2963363840,530.7668
2016-09-08.tar.zst,186765333,2962616320,152.2670
2016-09-09.tar.zst,185657126,2932008960,116.7082
2016-09-10.tar.zst,186237125,2938787840,114.4993
2016-09-11.tar.zst,185701986,2930831360,439.3676
2016-09-12.tar.zst,186645398,2958141440,162.9692
2016-09-18.tar.zst,186830919,2963937280,129.2415
2016-09-19.tar.zst,186002018,2945034240,122.8795
2016-09-20.tar.zst,187093414,2974289920,188.8161
2016-09-21.tar.zst,187314566,2973470720,287.6281
2016-09-22.tar.zst,187418108,2976532480,127.2199
2016-09-23.tar.zst,187602627,2975385600,121.7524
2016-09-24.tar.zst,187091519,2979072000,383.9908
2016-09-25.tar.zst,186736059,2961448960,131.0911
2016-09-26.tar.zst,186947045,2979809280,113.0968
2016-09-27.tar.zst,188748569,3033600000,114.3954
2016-09-28.tar.zst,188178432,3018403840,888.5327
2016-09-29.tar.zst,187720978,3003002880,133.0177
2016-09-30.tar.zst,186736726,2982051840,122.9437

Total_decompressed_files: 102
Mean_throughput_MiB_s: 175.2994
Std_dev_MiB_s: 148.0433
95%_CI_MiB_s: [146.5688, 204.0300]
