filename,original_bytes,compressed_bytes,compression_ratio,throughput_MiB_s
v2.6.11.tar,208250880,45206555,4.6066,192.6254
v2.6.12-rc2.tar,210882560,44985536,4.6877,196.2254
v2.6.12-rc3.tar,211527680,45147765,4.6852,203.9262
v2.6.12-rc4.tar,211978240,45295454,4.6799,204.1447
v2.6.12-rc5.tar,212111360,45339365,4.6783,210.2220
v2.6.12-rc6.tar,212705280,45484193,4.6764,208.4292
v2.6.12.tar,212725760,46109413,4.6134,204.7023
v2.6.13-rc1.tar,215951360,46191043,4.6751,213.9768
v2.6.13-rc2.tar,215869440,46166104,4.6759,209.5450
v2.6.13-rc3.tar,216565760,46312670,4.6761,208.3853
v2.6.13-rc4.tar,219248640,46647538,4.7001,207.7626
v2.6.13-rc5.tar,219361280,46670499,4.7002,207.7582
v2.6.13-rc6.tar,219402240,46685182,4.6996,209.9918
v2.6.13-rc7.tar,219432960,46689428,4.6998,210.3310
v2.6.13.tar,219432960,47454399,4.6240,212.9042
v2.6.14-rc1.tar,223098880,47556868,4.6912,209.7113
v2.6.14-rc2.tar,223334400,47609637,4.6909,208.4444
v2.6.14-rc3.tar,223825920,47757675,4.6867,208.9186
v2.6.14-rc4.tar,224071680,47843603,4.6834,210.9505
v2.6.14-rc5.tar,224081920,47849038,4.6831,203.6699
v2.6.14.tar,224092160,48505483,4.6199,206.9242
v2.6.15-rc1.tar,228259840,48636860,4.6931,209.4062
v2.6.15-rc2.tar,228147200,48623442,4.6921,207.2377
v2.6.15-rc3.tar,228167680,48638603,4.6910,210.6545
v2.6.15-rc4.tar,228188160,48640525,4.6913,208.9077
v2.6.15-rc5.tar,228167680,48634496,4.6914,207.9240
v2.6.15-rc6.tar,228147200,48633529,4.6911,212.7205
v2.6.15-rc7.tar,228157440,48636139,4.6911,208.8937
v2.6.15.tar,228157440,49295219,4.6283,205.2583
v2.6.16-rc1.tar,233103360,49637878,4.6960,216.0894
v2.6.16-rc2.tar,233676800,49752226,4.6968,211.9956
v2.6.16-rc3.tar,233871360,49828583,4.6935,210.8605
v2.6.16-rc4.tar,233932800,49853901,4.6923,213.7922
v2.6.16-rc5.tar,233912320,49843412,4.6929,211.9863
v2.6.16-rc6.tar,233932800,49853956,4.6923,211.6046
v2.6.16.tar,233953280,50559280,4.6273,210.3886
v2.6.17-rc1.tar,237701120,50624861,4.6953,213.3341
v2.6.17-rc2.tar,236298240,50398434,4.6886,210.8904
v2.6.17-rc3.tar,236359680,50415172,4.6882,201.6226
v2.6.17-rc4.tar,236451840,50432487,4.6884,207.9306
v2.6.17-rc5.tar,236584960,50476106,4.6870,200.3888
v2.6.17-rc6.tar,236595200,50477615,4.6871,200.9565
v2.6.17.tar,236605440,51119795,4.6284,206.2170
v2.6.18-rc1.tar,239411200,50951405,4.6988,207.8077
v2.6.18-rc2.tar,239656960,51000886,4.6990,212.5769
v2.6.18-rc3.tar,239667200,51007057,4.6987,206.9473
v2.6.18-rc4.tar,239728640,51014113,4.6992,205.8128
v2.6.18-rc5.tar,240056320,51101435,4.6976,208.5799
v2.6.18-rc6.tar,240107520,51117156,4.6972,203.7870
v2.6.18-rc7.tar,240117760,51121809,4.6969,203.4201
v2.6.18.tar,240138240,51856674,4.6308,207.0353
v2.6.19-rc1.tar,245381120,52110967,4.7088,202.5097
v2.6.19-rc2.tar,246159360,52169931,4.7184,209.0260
v2.6.19-rc3.tar,246384640,52213852,4.7187,202.9920
v2.6.19-rc4.tar,246425600,52215185,4.7194,207.8158
v2.6.19-rc5.tar,246425600,52219388,4.7190,209.2034
v2.6.19-rc6.tar,246446080,52225522,4.7188,207.9035
v2.6.19.tar,246466560,53106835,4.6409,208.4290
v2.6.20-rc1.tar,249989120,52936616,4.7224,204.1540
v2.6.20-rc2.tar,250019840,52943178,4.7224,212.2812
v2.6.20-rc3.tar,250030080,52939196,4.7229,205.1124
v2.6.20-rc4.tar,250091520,52945747,4.7235,207.7956
v2.6.20-rc5.tar,250132480,52949989,4.7239,210.9576
v2.6.20-rc6.tar,250286080,52957944,4.7261,210.7708
v2.6.20-rc7.tar,250306560,52962798,4.7260,218.1408
v2.6.20.tar,250316800,53831950,4.6499,215.2624
v2.6.21-rc1.tar,254126080,53605264,4.7406,212.8883
v2.6.21-rc2.tar,254361600,53661639,4.7401,213.7384
v2.6.21-rc3.tar,254382080,53668708,4.7398,212.0720
v2.6.21-rc4.tar,254361600,53661533,4.7401,213.9155
v2.6.21-rc5.tar,254402560,53685284,4.7387,211.6564
v2.6.21-rc6.tar,254371840,53672445,4.7393,211.6880
v2.6.21-rc7.tar,254392320,53679171,4.7391,212.6497
v2.6.21.tar,254402560,54696101,4.6512,213.3106
v2.6.22.tar,262922240,56022858,4.6931,209.4668
v2.6.23.tar,264704000,56613171,4.6756,215.3198
v2.6.24.tar,272834560,58147137,4.6921,214.0616
v2.6.25.tar,284651520,60466352,4.7076,211.8300
v2.6.26.tar,289576960,61441093,4.7130,213.5584
v2.6.27.tar,293826560,62554370,4.6971,211.4212
v2.6.28.tar,310261760,65508068,4.7362,210.6781
v2.6.29.tar,336179200,70389649,4.7759,211.5473
v2.6.30.tar,353146880,73886089,4.7796,207.1872
v2.6.31.tar,365711360,76402812,4.7866,213.2674
v2.6.32.tar,382392320,79843493,4.7892,212.3255
v2.6.33.tar,395100160,82345683,4.7980,209.0725
v2.6.34.tar,404674560,84175169,4.8075,208.9502
v2.6.35.tar,412897280,86418958,4.7778,209.0498
v2.6.36.tar,413655040,87811814,4.7106,207.9325
v2.6.37.tar,431349760,91807232,4.6984,207.6655
v2.6.38.tar,440494080,93460999,4.7131,209.7999
v2.6.39.tar,449597440,95275649,4.7189,207.8336
v3.0.tar,450979840,96085457,4.6935,207.4354
v3.10.tar,521564160,109421617,4.7665,208.5813
v3.11.tar,534128640,112227014,4.7593,211.7368
v3.12.tar,543969280,114312864,4.7586,211.9436
v3.13.tar,549816320,115516782,4.7596,212.6227
v3.14.tar,560056320,117509986,4.7660,211.7119
v3.15.tar,571514880,119558817,4.7801,214.8468
v3.16.tar,578662400,120925680,4.7852,216.7093
v3.17.tar,576604160,120564983,4.7825,216.3244
v3.18.tar,580423680,121430100,4.7798,216.3744
v3.19.tar,584458240,122251918,4.7807,216.6266
v3.1.tar,454471680,96725256,4.6985,205.1259
v3.2.tar,460912640,97749591,4.7152,217.3458
v3.3.tar,466083840,98904149,4.7124,215.6200
v3.4.tar,472565760,100186119,4.7168,216.2884
v3.5.tar,479723520,101383949,4.7317,215.6390
v3.6.tar,489205760,103074781,4.7461,214.4937
v3.7.tar,499025920,104750777,4.7639,216.0020
v3.8.tar,505661440,106123911,4.7648,215.0826
v3.9.tar,513832960,107891644,4.7624,218.5262
v4.0.tar,589998080,123386400,4.7817,215.8159
v4.10.tar,713103360,142055185,5.0199,216.1839
v4.11.tar,722278400,143831999,5.0216,216.6024
v4.12.tar,779735040,148959321,5.2345,216.2624
v4.13.tar,818032640,151927588,5.3843,218.1406
v4.14.tar,825057280,152235314,5.4196,216.2564
v4.15.tar,834355200,154110343,5.4140,208.8857
v4.16.tar,835942400,155418354,5.3786,218.5249
v4.17.tar,833812480,154577329,5.3941,218.6655
v4.18.tar,829931520,154117283,5.3850,213.9941
v4.19.tar,839464960,156158326,5.3757,216.3943
v4.1.tar,595927040,124588478,4.7831,215.5652
v4.20.tar,854773760,157950699,5.4116,214.8275
v4.2.tar,630958080,128522866,4.9093,215.5084
v4.3.tar,640839680,130387298,4.9148,212.3602
v4.4.tar,648355840,131269669,4.9391,213.6009
v4.5.tar,658053120,132739953,4.9574,214.4883
v4.6.tar,666204160,134457633,4.9547,215.4981
v4.7.tar,676976640,136069720,4.9752,216.0127
v4.8.tar,686970880,138216059,4.9702,214.3650
v4.9.tar,695582720,139943835,4.9704,214.1058
v5.0.tar,863303680,159404167,5.4158,216.6287
v5.10-rc1.tar,1019627520,175586305,5.8069,206.8281
v5.10-rc2.tar,1018900480,175399350,5.8090,209.6180
v5.10-rc3.tar,1018951680,175402606,5.8092,206.7624
v5.10-rc4.tar,1019064320,175458504,5.8080,205.7520
v5.10-rc5.tar,1019136000,175467236,5.8081,205.3537
v5.10-rc6.tar,1019207680,175467380,5.8085,207.7952
v5.10-rc7.tar,1019217920,175463888,5.8087,209.5373
v5.10.tar,1019238400,175487759,5.8080,203.7148
v5.11-rc1.tar,1063905280,177872382,5.9812,213.2754
v5.11-rc2.tar,1063905280,177881034,5.9809,213.4506
v5.11-rc3.tar,1063956480,177891726,5.9809,209.5321
v5.11-rc4.tar,1064048640,177926077,5.9802,212.3023
v5.11-rc5.tar,1064079360,177936219,5.9801,210.4345
v5.11-rc6.tar,1064130560,177934113,5.9804,211.0397
v5.11-rc7.tar,1064192000,177950406,5.9802,214.5967
v5.11.tar,1064212480,177951426,5.9803,206.9894
v5.12-rc1-dontuse.tar,1070069760,178754164,5.9862,215.5523
v5.12-rc2.tar,1070110720,178773089,5.9858,217.1334
v5.12-rc3.tar,1070172160,178789079,5.9856,208.6308
v5.12-rc4.tar,1070182400,178801153,5.9853,209.3922
v5.12-rc5.tar,1070254080,178808564,5.9854,208.2301
v5.12-rc6.tar,1070264320,178792352,5.9860,203.5287
v5.12-rc7.tar,1070305280,178809223,5.9857,209.3915
v5.12-rc8.tar,1070315520,178795268,5.9862,212.9294
v5.12.tar,1070315520,178814727,5.9856,208.5691
v5.13-rc1.tar,1091471360,180794197,6.0370,214.0689
v5.13-rc2.tar,1091502080,180811473,6.0366,214.7471
v5.13-rc3.tar,1091532800,180810358,6.0368,197.8188
v5.13-rc4.tar,1091655680,180829756,6.0369,199.9971
v5.13-rc5.tar,1091686400,180841667,6.0366,199.0700
v5.13-rc6.tar,1091717120,180841846,6.0368,199.5552
v5.13-rc7.tar,1091768320,180866218,6.0363,207.3160
v5.13.tar,1091778560,180858215,6.0366,200.7002
v5.14-rc1.tar,1126553600,183360020,6.1439,212.2228
v5.14-rc2.tar,1126553600,183346628,6.1443,212.3639
v5.14-rc3.tar,1126594560,183331998,6.1451,213.9718
v5.14-rc4.tar,1126656000,183366757,6.1442,213.3599
v5.14-rc5.tar,1126696960,183377752,6.1441,212.3358
v5.14-rc6.tar,1126717440,183388535,6.1438,212.7390
v5.14-rc7.tar,1126727680,183397850,6.1436,212.2226
v5.14.tar,1126737920,183394320,6.1437,212.5491
v5.15-rc1.tar,1136762880,185247934,6.1364,212.3418
v5.15-rc2.tar,1136803840,185233271,6.1371,212.6422
v5.15-rc3.tar,1136855040,185237225,6.1372,208.0542
v5.15-rc4.tar,1136906240,185258492,6.1368,211.2052
v5.15-rc5.tar,1136936960,185245889,6.1374,212.0849
v5.15-rc6.tar,1136977920,185264258,6.1370,212.1672
v5.15-rc7.tar,1137008640,185263733,6.1372,212.6081
v5.15.tar,1137018880,185295872,6.1362,211.9580
v5.16-rc1.tar,1151825920,187357550,6.1477,214.6531
v5.16-rc2.tar,1151877120,187356867,6.1480,213.9268
v5.16-rc3.tar,1151836160,187348982,6.1480,214.1474
v5.16-rc4.tar,1151887360,187358012,6.1480,209.8591
v5.16-rc5.tar,1151948800,187380768,6.1476,208.2111
v5.16-rc6.tar,1151979520,187368018,6.1482,204.3686
v5.16-rc7.tar,1152000000,187375885,6.1480,203.4877
v5.16-rc8.tar,1152020480,187413604,6.1469,204.2238
v5.16.tar,1152030720,187405053,6.1472,204.9551
