filename,compressed_bytes,restored_bytes,throughput_MiB_s
netty-4.1.100.Final.tar.zst,3046795,23521280,924.2763
netty-4.1.101.Final.tar.zst,3052150,23562240,906.9357
netty-4.1.102.Final.tar.zst,3080153,23664640,916.1072
netty-4.1.103.Final.tar.zst,3080386,23664640,924.0867
netty-4.1.104.Final.tar.zst,3079915,23664640,913.6309
netty-4.1.105.Final.tar.zst,3084013,23695360,928.3048
netty-4.1.106.Final.tar.zst,3085204,23695360,923.0487
netty-4.1.107.Final.tar.zst,3094136,23767040,917.7246
netty-4.1.108.Final.tar.zst,3106041,23838720,921.8678
netty-4.1.109.Final.tar.zst,3116688,23920640,907.1220
netty-4.1.110.Final.tar.zst,3132152,24043520,916.3783
netty-4.1.111.Final.tar.zst,3135573,24084480,923.9768
netty-4.1.112.Final.tar.zst,3140492,24115200,928.3066
netty-4.1.113.Final.tar.zst,3143648,24145920,915.1691
netty-4.1.114.Final.tar.zst,3156426,24238080,930.5836
netty-4.1.115.Final.tar.zst,3161570,24268800,910.1646
netty-4.1.116.Final.tar.zst,3170364,24340480,927.6412
netty-4.1.117.Final.tar.zst,3172846,24350720,914.4327
netty-4.1.118.Final.tar.zst,3174958,24371200,913.8730
netty-4.1.119.Final.tar.zst,3178529,24391680,920.9250
netty-4.1.120.Final.tar.zst,3182742,24412160,924.3233
netty-4.1.121.Final.tar.zst,3182916,24412160,921.5393
netty-4.1.122.Final.tar.zst,3186876,24524800,916.1350
netty-4.1.123.Final.tar.zst,3188595,24514560,929.6511
netty-4.1.45.Final.tar.zst,2566636,19886080,906.6844
netty-4.1.46.Final.tar.zst,2577862,19957760,914.5580
netty-4.1.47.Final.tar.zst,2579454,19998720,911.9827
netty-4.1.48.Final.tar.zst,2582104,20019200,913.5420
netty-4.1.49.Final.tar.zst,2635078,20346880,904.8349
netty-4.1.50.Final.tar.zst,2644660,20428800,898.9279
netty-4.1.51.Final.tar.zst,2655282,20510720,905.0616
netty-4.1.52.Final.tar.zst,2688104,20725760,907.1479
netty-4.1.53.Final.tar.zst,2724330,20879360,897.7252
netty-4.1.54.Final.tar.zst,2738363,21002240,903.8586
netty-4.1.55.Final.tar.zst,2748147,21084160,909.0086
netty-4.1.56.Final.tar.zst,2749253,21094400,911.7336
netty-4.1.57.Final.tar.zst,2759233,21166080,904.1096
netty-4.1.58.Final.tar.zst,2757382,21145600,920.0658
netty-4.1.59.Final.tar.zst,2768655,21227520,902.8095
netty-4.1.60.Final.tar.zst,2793071,21360640,919.1151
