filename,compressed_bytes,restored_bytes,throughput_MiB_s
v0.13.3.tar.zst,24893250,34846720,1265.4714
v0.14.0-beta1.tar.zst,25657362,35932160,1304.1374
v0.14.0-beta2.tar.zst,25253545,35717120,1289.5646
v0.14.0-beta3.tar.zst,25338797,35717120,1279.4748
v0.14.0-rc1.tar.zst,27626253,38809600,1313.0108
v0.14.0.tar.zst,28023342,38799360,1327.1671
v0.14.1.tar.zst,28504309,39393280,1316.6669
v0.14.2.tar.zst,29080418,39905280,1313.1486
v0.14.3.tar.zst,29651864,40683520,1329.5522
v0.14.4.tar.zst,29950174,41267200,1327.8171
v0.14.5.tar.zst,30433726,41830400,1317.7001
v0.14.6.tar.zst,30727267,42393600,1334.7345
v0.14.7.tar.zst,31037880,43038720,1345.1760
v0.14.8.tar.zst,31749345,43991040,1344.9393
v15.0.0-rc.1.tar.zst,31797595,44021760,1309.1564
v15.0.0-rc.2.tar.zst,32311967,44625920,1348.8378
v15.0.0.tar.zst,32866378,45772800,1350.4956
v15.0.1.tar.zst,33624105,46919680,1352.5594
v15.0.2.tar.zst,34116621,47544320,1342.6837
v15.1.0.tar.zst,34545673,48220160,1328.3328
v15.2.0.tar.zst,35153149,49213440,1344.1827
v15.2.1.tar.zst,35637279,49889280,1330.4486
v15.3.0.tar.zst,37081594,51496960,1328.3181
v15.3.1.tar.zst,37724780,52080640,1349.2787
v15.3.2.tar.zst,38385382,52674560,1360.0148
v15.4.0-rc.3.tar.zst,39721947,54292480,1338.1810
v15.4.0.tar.zst,40154008,53729280,1376.0796
v15.4.1.tar.zst,40741061,54497280,1390.2456
v15.4.2.tar.zst,41231833,55152640,1387.3800
v15.5.0.tar.zst,41266630,56412160,1372.1416
v15.5.1.tar.zst,41328600,56453120,1375.4634
v15.5.2.tar.zst,41406945,56453120,1382.4201
v15.5.3.tar.zst,41407014,56453120,1371.1791
v15.5.4.tar.zst,41363133,56238080,1358.3466
v15.6.0.tar.zst,44710459,61132800,1422.9342
v15.6.1.tar.zst,44547669,61194240,1422.3865
v15.6.2.tar.zst,43255048,59371520,1406.0418
v15.7.0.tar.zst,6270582,31713280,961.5869
v16.0.0-alpha.3.tar.zst,41704858,56442880,1353.2833
v16.0.0-alpha.4.tar.zst,41379954,56412160,1363.4338
v16.0.0-rc.1.tar.zst,43439083,61358080,1409.3909
v16.0.0-rc.2.tar.zst,43439162,61358080,1352.9862
v16.0.0.tar.zst,43433489,61347840,1393.8268
v16.10.0.tar.zst,4086703,15964160,888.1589
v16.10.1.tar.zst,4086468,15964160,891.0325
v16.10.2.tar.zst,4086827,15964160,893.4890
v16.1.0.tar.zst,962794,6696960,728.9097
v16.11.0.tar.zst,4102269,16046080,890.5863
v16.1.1.tar.zst,965847,6707200,752.3372
v16.12.0.tar.zst,4194787,16506880,880.8711
v16.13.0.tar.zst,4241417,16732160,889.3064
v16.13.1.tar.zst,4238793,16721920,879.0877
v16.14.0.tar.zst,6271537,31713280,940.8025
v16.2.0.tar.zst,982902,7004160,760.6072
v16.3.0-alpha.0.tar.zst,2950911,9021440,182.6165
v16.3.0-alpha.1.tar.zst,2955779,9062400,633.3111
v16.3.0-alpha.2.tar.zst,2972164,9195520,852.9213
v16.3.0-alpha.3.tar.zst,2975514,9205760,846.4931
v16.3.0-rc.0.tar.zst,2978156,9226240,848.0478
v16.3.0.tar.zst,2979386,9246720,851.7450
v16.3.1.tar.zst,2982059,9267200,827.5896
v16.3.2.tar.zst,2984186,9256960,860.1429
v16.4.0-alpha.16.4.0-alpha.7926752.tar.zst,3022745,9512960,669.8126
v16.4.0-alpha.5a25959.tar.zst,2973379,9185280,849.8514
v16.4.0-alpha.94a255d.tar.zst,2974581,9195520,856.9039
v16.4.0.tar.zst,3026205,9523200,866.0594
v16.4.1.tar.zst,3036548,9584640,872.0590
v16.4.2.tar.zst,3037206,9594880,858.2343
v16.5.0.tar.zst,3331194,10803200,880.6764
v16.5.1.tar.zst,3337678,10854400,871.1792
v16.5.2.tar.zst,3338644,10864640,873.3212
v16.6.0-alpha.0.tar.zst,3338994,10864640,874.1063
v16.6.0-alpha.400d197.tar.zst,3377498,11171840,883.3330
v16.6.0-alpha.8af6728.tar.zst,3357702,11048960,887.0769
v16.6.0.tar.zst,3374953,11161600,884.7522
v16.6.1.tar.zst,3421200,11417600,884.3481
v16.6.3.tar.zst,3430553,11458560,866.5387
v16.7.0-alpha.1.tar.zst,3434756,11479040,881.1108
v16.7.0.tar.zst,3473299,11755520,889.6183
v16.8.0-alpha.1.tar.zst,3476106,11776000,884.1365
v16.8.0.tar.zst,3511237,11960320,881.6126
v16.8.1.tar.zst,3512364,11960320,870.2135
v16.8.2.tar.zst,3520937,12021760,886.1770
v16.8.3.tar.zst,3522256,12032000,850.8206
v16.8.4.tar.zst,3524125,12042240,894.2122
v16.8.5.tar.zst,3530299,12113920,888.1713
v16.8.6.tar.zst,3532856,12124160,871.7400
v16.9.0-alpha.0.tar.zst,3401532,12247040,869.5378
v16.9.0-rc.0.tar.zst,3529669,13025280,870.4504
v16.9.0.tar.zst,3529553,13025280,856.1202
v17.0.0.tar.zst,4735929,19456000,901.7880
v17.0.1.tar.zst,4736094,19456000,903.4467
v17.0.2.tar.zst,4735475,19456000,905.1457
v18.0.0.tar.zst,5479489,24453120,926.6410
v18.1.0.tar.zst,5567557,24668160,921.7911
v18.2.0.tar.zst,5595899,24842240,911.7591
v18.3.0.tar.zst,5601818,24872960,921.0154
v18.3.1.tar.zst,5602231,24872960,909.7929
