filename,compressed_bytes,restored_bytes,throughput_MiB_s
2016-06-13.tar.zst,180860332,2869463040,790.2527
2016-06-15.tar.zst,181646337,2879416320,124.6552
2016-06-16.tar.zst,181187717,2857523200,109.1373
2016-06-17.tar.zst,182853165,2899824640,338.1389
2016-06-18.tar.zst,181867248,2872954880,119.7048
2016-06-20.tar.zst,182941946,2905763840,676.6161
2016-06-22.tar.zst,182883043,2906142720,139.8780
2016-06-23.tar.zst,184084416,2938091520,105.7802
2016-06-24.tar.zst,183505952,2920529920,569.6997
2016-06-25.tar.zst,183613157,2920038400,146.6944
2016-06-26.tar.zst,183031124,2898094080,104.3295
2016-06-27.tar.zst,182868151,2896158720,489.8069
2016-06-28.tar.zst,184409926,2941347840,162.9059
2016-06-29.tar.zst,183622644,2920919040,110.5247
2016-06-30.tar.zst,184257578,2942167040,91.6673
2016-07-01.tar.zst,183823171,2936832000,396.9288
2016-07-02.tar.zst,186060225,2978682880,74.1724
2016-07-03.tar.zst,186210756,2999603200,72.2618
2016-07-04.tar.zst,186489190,3002122240,100.3668
2016-07-05.tar.zst,185384579,2982307840,256.9004
2016-07-06.tar.zst,183973335,2932582400,104.5011
2016-07-07.tar.zst,182672241,2890680320,118.0849
2016-07-08.tar.zst,182081961,2862520320,1272.7608
2016-07-09.tar.zst,181654953,2851921920,112.2196
2016-07-10.tar.zst,182017904,2866923520,154.0300
2016-07-11.tar.zst,182451778,2875156480,374.9769
2016-07-12.tar.zst,181964465,2865899520,114.8033
2016-07-13.tar.zst,181866939,2864680960,357.7407
2016-07-14.tar.zst,182076609,2871889920,183.7504
2016-07-15.tar.zst,182295900,2876139520,114.3855
2016-07-16.tar.zst,183168501,2890772480,263.7447
2016-07-17.tar.zst,181784135,2853201920,149.4028
2016-07-18.tar.zst,181038315,2818017280,76.0314
2016-07-19.tar.zst,182072407,2867015680,74.9300
2016-07-20.tar.zst,181989046,2881556480,848.0709
2016-07-21.tar.zst,182644482,2894223360,94.9537
2016-07-22.tar.zst,181927122,2886604800,81.1382
2016-07-23.tar.zst,182438855,2909696000,107.2977
2016-07-24.tar.zst,181822936,2886451200,135.6969
2016-07-25.tar.zst,182082389,2886840320,210.5393
2016-07-26.tar.zst,182584921,2908835840,76.7575
2016-07-27.tar.zst,181499442,2886123520,79.7543
2016-07-28.tar.zst,181719431,2885232640,761.0817
2016-07-29.tar.zst,181685204,2888427520,92.2162
2016-07-30.tar.zst,181362503,2872268800,73.8820
2016-07-31.tar.zst,181924098,2891018240,346.4170
2016-08-01.tar.zst,182112614,2911375360,87.0155
2016-08-02.tar.zst,182805706,2911365120,74.6611
2016-08-03.tar.zst,183056071,2915768320,450.2797
2016-08-04.tar.zst,182470598,2891182080,97.1705
2016-08-05.tar.zst,184494583,2914078720,77.8058
2016-08-06.tar.zst,182616223,2862192640,108.3320
2016-08-07.tar.zst,182489367,2864977920,263.6263
2016-08-08.tar.zst,183091908,2885160960,88.5300
2016-08-09.tar.zst,183455400,2894878720,75.5171
2016-08-10.tar.zst,183932184,2891223040,387.1313
2016-08-11.tar.zst,184261510,2906798080,84.3384
2016-08-12.tar.zst,183764645,2891960320,81.3383
2016-08-13.tar.zst,183609543,2896896000,198.8893
2016-08-14.tar.zst,183602223,2899589120,240.0755
2016-08-15.tar.zst,183504181,2900643840,113.8955
2016-08-16.tar.zst,183899485,2900971520,381.6784
2016-08-17.tar.zst,184462306,2916444160,114.9504
2016-08-18.tar.zst,183616900,2888284160,347.4824
2016-08-19.tar.zst,183933931,2897541120,87.5514
2016-08-20.tar.zst,182789835,2865950720,74.0751
2016-08-21.tar.zst,183697011,2889000960,246.4042
2016-08-22.tar.zst,183305570,2891796480,112.8839
2016-08-23.tar.zst,183364948,2886307840,91.9293
2016-08-24.tar.zst,183871943,2902712320,1180.5896
2016-08-25.tar.zst,184663453,2918451200,114.9057
2016-08-26.tar.zst,185241370,2940354560,207.0360
2016-08-27.tar.zst,185080586,2920970240,258.5196
2016-08-28.tar.zst,184461989,2910924800,116.8413
2016-08-29.tar.zst,185627806,2946836480,350.6051
2016-08-30.tar.zst,185962758,2959964160,117.9718
2016-08-31.tar.zst,185744285,2957639680,224.6586
2016-09-01.tar.zst,186198940,2968371200,236.1463
2016-09-02.tar.zst,185906127,2955345920,118.7107
2016-09-03.tar.zst,186372559,2971299840,323.0473
2016-09-04.tar.zst,185354663,2934128640,115.0336
2016-09-05.tar.zst,185047324,2942648320,317.5705
2016-09-06.tar.zst,186377677,2957557760,113.9923
2016-09-07.tar.zst,186588899,2963363840,162.4722
2016-09-08.tar.zst,186765333,2962616320,287.9633
2016-09-09.tar.zst,185657126,2932008960,111.1578
2016-09-10.tar.zst,186237125,2938787840,195.7281
2016-09-11.tar.zst,185701986,2930831360,242.9865
2016-09-12.tar.zst,186645398,2958141440,109.4024
2016-09-18.tar.zst,186830919,2963937280,295.2659
2016-09-19.tar.zst,186002018,2945034240,105.9947
2016-09-20.tar.zst,187093414,2974289920,283.4196
2016-09-21.tar.zst,187314566,2973470720,114.3149
2016-09-22.tar.zst,187418108,2976532480,205.5229
2016-09-23.tar.zst,187602627,2975385600,239.0632
2016-09-24.tar.zst,187091519,2979072000,121.0822
2016-09-25.tar.zst,186736059,2961448960,221.4742
2016-09-26.tar.zst,186947045,2979809280,237.7127
2016-09-27.tar.zst,188748569,3033600000,117.6772
2016-09-28.tar.zst,188178432,3018403840,147.8674
2016-09-29.tar.zst,187720978,3003002880,255.7386
2016-09-30.tar.zst,186736726,2982051840,247.7267


Total_decompressed_files: 102
Mean_throughput_MiB_s: 222.9740
Std_dev_MiB_s: 211.8378
95%_CI_MiB_s: [181.8629, 264.0852]
