Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,95072414,5.345473995,16.96,27017233,492181,27509414
2,95172660,1.888590150,48.05,31221788,492512,31714300
3,95633624,2.172984606,41.96,38769577,492738,39262315
4,95710717,1.635146508,55.81,43452998,491707,43944705
5,95767418,1.804678392,50.60,47439749,492387,47932136
6,95874517,2.005162125,45.59,54324656,493071,54817727
7,96031005,1.400297331,65.40,56611673,493465,57105138
8,96073810,1.596693546,57.38,60904004,493787,61397791
9,96156132,.955078426,96.01,61560935,494109,62055044
10,96181716,1.037878783,88.37,62250260,494530,62744790
11,96225095,1.085490308,84.53,63085800,494942,63580742
12,96280016,1.177388602,77.97,64062779,495266,64558045
13,96295453,.932469338,98.48,64544060,495678,65039738
14,96159344,.983081428,93.27,65188989,496002,65684991
15,96211395,.966120729,94.96,65783848,496326,66280174
16,97419644,4.439304585,20.92,80530238,516044,81046282
17,92656128,3.624915251,24.37,92032744,496494,92529238
18,92958211,2.329236332,38.05,98577651,497721,99075372
19,93342477,1.860588636,47.83,102315962,499648,102815610
20,93684968,1.944983861,45.93,106353507,501187,106854694
21,93855134,1.970431809,45.42,110533648,502450,111036098
22,94105945,2.103865646,42.65,115151020,503870,115654890
23,94494954,2.122239708,42.45,119841174,515051,120356225
24,94930340,2.229482372,40.60,124743981,517533,125261514
25,96567704,1.817878185,50.65,127947455,518041,128465496
26,96574342,.983982556,93.59,128423538,518365,128941903
27,96788905,1.804148795,51.15,131663663,519282,132182945
28,97165615,1.424139165,65.06,134990532,519598,135510130
29,97252200,1.417965867,65.40,136699256,519995,137219251
30,97352699,1.197914596,77.50,137708131,519164,138227295
31,97692230,2.335263446,39.89,143071307,520376,143591683
32,97920212,1.667742116,55.99,146223220,520996,146744216
33,97974831,1.569647401,59.52,149024800,521320,149546120
34,98288476,2.198143664,42.64,155739809,522197,156262006
35,98417569,2.405751646,39.01,163644240,522881,164167121
36,98524809,1.920388572,48.92,168055198,526877,168582075
37,98718707,2.072577121,45.42,173006801,530771,173537572
38,98939219,2.421835967,38.95,180798083,531461,181329544
39,99175341,2.178202067,43.42,185767891,532428,186300319
40,99235132,1.128320742,83.86,186829758,532752,187362510
41,99245708,.928395538,101.93,187158860,533164,187692024
42,99616951,1.087874599,87.32,187805125,533488,188338613
43,99673755,1.059933691,89.67,188410535,533812,188944347
44,102067239,4.584083090,21.23,203575874,522530,204098404
45,97037979,3.450818467,26.81,211848124,514431,212362555
46,96139199,2.195552554,41.75,216682597,506787,217189384
47,96531666,2.181913195,42.18,221544108,509822,222053930
48,96497220,2.003920384,45.91,225680899,508178,226189077
49,96781557,1.889371087,48.84,230985988,510316,231496304
50,97038998,1.981341655,46.70,235060260,512424,235572684
51,97356817,1.963444357,47.28,239058041,514788,239572829
52,98422334,2.632413578,35.65,245044292,519550,245563842
53,101214785,1.602437048,60.23,247614480,520026,248134506
54,101296041,1.444154582,66.89,249629748,520254,250150002
55,101368542,1.462854774,66.08,251626172,520474,252146646
56,101544694,1.837491335,52.70,254893021,521507,255414528
57,101976969,1.541900921,63.07,256709644,525430,257235074
58,102038483,1.112080374,87.50,257112583,525746,257638329
59,102561389,2.569242924,38.06,263249736,532274,263782010
60,102867616,2.370939259,41.37,268922026,533110,269455136
61,103124716,2.429453654,40.47,274455092,534490,274989582
62,103346421,2.624249750,37.55,281565003,535672,282100675
63,103267224,2.537039883,38.81,289467502,538249,290005751
64,103390545,1.784811421,55.24,293262251,538765,293801016
65,103417233,1.862667167,52.94,296991963,539326,297531289
66,103681907,2.289998586,43.17,303630658,542238,304172896
67,103841211,1.827665864,54.18,307158943,543741,307702684
68,103676757,2.048611150,48.26,312865686,545821,313411507
69,103733404,.984611692,100.46,313400485,546145,313946630
70,107877248,4.911674762,20.94,330146955,566209,330713164
71,98847116,3.905701995,24.13,340407190,516630,340923820
72,99179394,2.767958682,34.16,347345840,532566,347878406
73,99741606,3.081215084,30.87,357105644,538525,357644169
74,100710465,2.746675569,34.96,363914145,543782,364457927
75,101483591,2.518344532,38.43,370053549,548945,370602494
76,102083723,2.462547732,39.53,375688895,555413,376244308
77,103291730,2.847046718,34.59,382634070,563395,383197465
78,103535601,2.370037935,41.65,387921844,565489,388487333
79,103459036,1.960470049,50.32,392900311,566786,393467097
80,103661012,1.769060621,55.87,396078267,567502,396645769
81,103699369,1.795979911,55.06,398908821,569759,399478580
82,106364240,1.735180819,58.45,401297528,571288,401868816
83,107868656,1.239565331,82.98,401681102,569085,402250187
84,108379556,2.588722196,39.92,407698410,574272,408272682
85,108594291,2.088589775,49.58,411892775,575917,412468692
86,108507728,2.295283483,45.08,416876365,578779,417455144
87,108746225,2.332372111,44.46,423450251,580087,424030338
88,108906551,1.467454843,70.77,426008476,580411,426588887
89,107076340,3.949099276,25.85,436508752,573460,437082212
90,107699111,2.779942506,36.94,443139776,580929,443720705
91,108084637,2.405876632,42.84,448614343,582369,449196712
92,108444974,2.390524033,43.26,453770400,583501,454353901
93,108792788,2.797653420,37.08,460670572,586115,461256687
94,109684831,2.848456433,36.72,467579109,589934,468169043
95,110100244,2.928500995,35.85,474879890,593873,475473763
96,111923245,3.294889163,32.39,483534739,600283,484135022
97,114880713,2.532663119,43.25,489219520,601612,489821132
98,115263816,2.217013014,49.58,493491868,602680,494094548
99,115332134,2.101021794,52.34,497747278,603785,498351063
100,115475785,2.025955951,54.35,501494388,604825,502099213
