Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,61ebca37276e711bb89755fbbdaf9ac3039c62f9,2893207779,11.504436435,239.83
2,ea77d969c712e58e4f12d61ba775fd488b982f43,2903092105,6.288298617,440.27
3,5c9464fc4fcc3a757c249a85949991f2f016bfc9,2881454642,4.992662417,550.39
4,770a456060fbafe103b167adf2b01aa4e0d94903,2922171566,4.629931762,601.90
5,831cbd5dd036d20d8e1d28d9a2337b4b5752bf64,2895587350,16.896967226,163.42
6,5a0aafd58b03c54930e8d183e34e6757570c9682,2928036074,16.180128785,172.58
7,21737933a799f56437faef76f2eb6ad0e3bb8486,2928425638,30.100122273,92.78
8,3270307ee89fb5ab48ca52307d897fca7a96fe7f,2959969199,76.949127349,36.68
9,2aff970bf45216de1f7a2f376d6692a8a8076eae,2942614459,13.703666657,204.78
10,b05d24a79fa236421334ebf0803e842048ebf1b4,2942112331,14.079067193,199.28
11,e357919e0baa947a75c060affe4e7d1467d82448,2920548108,13.243106800,210.31
12,ae3d2d6aaacabae7dc039b2d2f192ea5a00ab1cd,2918658808,14.255779500,195.24
13,6afeb1ee641888fef8bd42e6c68820c8d354e06b,2965403400,15.136072593,186.83
14,7391dd8d9e85a362d06988741081fd073e81f9f2,2942765901,136.665408358,20.53
15,e70896292ddd5e0e8a80ff909effe0090d8484c1,2963773798,17.812303108,158.68
16,ee7da2b301f9d23de8ab768963f842472e0a66d9,2958433457,113.930539336,24.76
17,0b28ed5d7d52db8dfb528388dfdceb837e4247a0,3002113733,16.763208931,170.79
18,86d7ab14fa255ca94fb1cd75745bf12032734587,3022826060,118.971109613,24.23
19,411de36a15a8ee2e575e65e86d2e794d8b50f4a9,3025358153,17.163932289,168.09
20,322ddfe269c8c3ab1dac67b58462fb267a409f52,3003664894,116.264278761,24.63
21,f4ad8897ab90ac6665859bb3c0c8345767da395a,2954328755,18.217981278,154.65
22,1e1a6d5968e76d157fa85dc5423d35eface96be0,2913024163,100.117101031,27.74
23,9fca750869f75ff7b441f03cd6a8a03415fdeba1,2885217470,18.248029536,150.78
24,902627898be383023bc701bb4aac70d9ce6db843,2874744597,107.833895127,25.42
25,689625303d75cd8446a7f4638683b3039e827cfa,2889627618,17.141555851,160.76
26,2f1a6056ea3113f8ec1db8a04e481beaf94e8842,2897802950,111.431262855,24.80
27,2af3dbd52054efe8f5f4fee0e47fc48618ccf97d,2888724205,17.692647256,155.70
28,81a44f834fec11e4ec46f993d4fd869b48695ec1,2887488925,131.846043261,20.88
29,874be38817e0a5bbbcebf49d98b735896d6ab2d5,2894631484,17.928745516,153.97
30,e7e8b130b93d65aeda5a528f5ae463a82a24752b,2898884721,94.047821954,29.39
31,cc0250363a4517023ea834eb556b7f75eb3e1664,2913438145,16.335219763,170.09
32,69f1cf03a0cfea3abc39795fcc917c5ef2c5f61f,2876255259,19.411730416,141.30
