Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2532649,.756596168,3.18,767999,108042,876041
2,3142928,.389420031,7.67,1525973,118167,1644140
3,3167216,.377903826,7.99,1990816,118841,2109657
4,3167983,.288869990,10.45,2359440,119331,2478771
5,3183711,.288278111,10.51,2702071,119829,2821900
6,2784073,.316557492,8.37,3177239,112716,3289955
7,2787160,.225623078,11.74,3374113,112950,3487063
8,3197956,.276451465,10.99,3755174,120699,3875873
9,3382358,.263998521,12.19,4322729,123565,4446294
10,3404072,.237463080,13.64,4771294,123970,4895264
11,3224021,.276730979,11.09,5145020,121670,5266690
12,3233356,.291887445,10.55,5536915,121986,5658901
13,3236663,.190966689,16.12,5669086,122310,5791396
14,3294796,.245633919,12.78,6089645,122874,6212519
15,3295068,.178351884,17.60,6226661,123110,6349771
16,3302334,.252470492,12.43,6607162,123434,6730596
17,3294749,.252040338,12.45,6905783,123670,7029453
18,3300186,.274440417,11.44,7197897,124066,7321963
19,3392266,.235226199,13.73,7565245,126094,7691339
20,3843754,.529388235,6.91,8746686,131399,8878085
21,3397020,.287872733,11.22,9133380,126646,9260026
22,3453396,.302109123,10.89,9553985,127058,9681043
23,3470840,.248262756,13.33,9988566,127470,10116036
24,3518664,.258398479,12.96,10438950,128042,10566992
25,3525648,.280412678,11.98,10937210,128446,11065656
26,3575277,.356011756,9.55,11567920,129362,11697282
27,3574473,.217924662,15.60,11947683,129598,12077281
28,3865717,.314607706,11.69,12447613,133791,12581404
29,3968673,.389305940,9.70,13266223,135027,13401250
30,1503895,.277440399,5.15,13645735,95782,13741517
31,1992552,.304869943,6.23,14151179,110155,14261334
32,2532649,.191281567,12.59,14152490,115343,14267833
33,3197956,.202544865,15.00,14153801,126598,14280399
34,3392266,.159370187,20.26,14155113,129634,14284747
35,3865717,.245025984,15.01,14156424,135443,14291867
36,1721621,.313804049,5.22,14652198,107527,14759725
37,1213331,.177915202,6.46,14854169,93865,14948034
38,1725648,.219735643,7.46,15082260,107823,15190083
39,2038112,.238910563,8.12,15330285,113651,15443936
40,2789653,.190632154,13.95,15461601,120823,15582424
41,3301781,.317130307,9.90,15600384,129494,15729878
42,3576601,.291031540,11.71,15889993,133138,16023131
43,1992652,.265187880,7.16,16176327,108755,16285082
44,1563869,.210076987,7.09,16377034,101374,16478408
45,1581556,.277127144,5.41,16544435,102482,16646917
46,6155970,.688836609,8.52,18636202,192117,18828319
47,1289577,.249184575,4.89,18924631,94298,19018929
48,1192592,.249992197,4.52,19182534,93110,19275644
49,1217769,.191226064,6.06,19348223,99913,19448136
50,1531623,.190216808,7.67,19548019,101342,19649361
51,1224559,.240736056,4.81,19679592,100305,19779897
52,1205007,.237285777,4.80,19765557,99669,19865226
53,4365323,.501240383,8.29,20914357,148589,21062946
54,4031337,.342815993,11.20,21482119,141951,21624070
55,4090535,.293601875,13.28,22048675,142971,22191646
56,4418417,.622714118,6.76,23188987,150529,23339516
57,6229166,.598319355,9.92,24978727,190387,25169114
58,6254372,.210712774,28.28,25224989,190975,25415964
59,4455956,.329754792,12.85,25715339,151749,25867088
60,5140197,.565135873,8.67,27023209,167310,27190519
61,5145432,.257851795,19.00,27388031,167546,27555577
62,4928187,.307285602,15.26,28013572,169235,28182807
63,4932535,.249387709,18.84,28343654,169479,28513133
64,4974578,.245155082,19.33,28686496,170827,28857323
65,4977919,.220858610,21.46,28940195,170975,29111170
66,4980576,.251398423,18.85,29092971,171299,29264270
67,4981037,.224711142,21.13,29137451,171535,29308986
68,6260836,.348095091,17.15,29474983,193503,29668486
69,6390362,.749855514,8.12,31364989,196252,31561241
70,6313586,.464460260,12.96,32053990,194951,32248941
71,6318595,.250935159,23.99,32194476,195216,32389692
72,6347171,.706115425,8.56,33647354,196500,33843854
73,6341402,.410675731,14.70,34437900,196024,34633924
74,6347055,.292860867,20.65,34886337,196516,35082853
75,6359818,.307428123,19.71,35303542,197088,35500630
76,6391647,.276538651,22.02,35599082,197628,35796710
77,6391642,.296046747,20.57,35691176,198140,35889316
78,6538345,.808814633,7.70,37933680,202860,38136540
79,6401540,.463785029,13.15,38781613,199364,38980977
80,6404317,.283924798,21.48,39115906,199480,39315386
81,6434296,.301037878,20.36,39528749,200076,39728825
82,6435221,.288395043,21.25,39877413,200312,40077725
83,6434662,.331035628,18.51,40281484,200724,40482208
84,6436136,.188872285,32.45,40385688,200960,40586648
85,6444754,.256255303,23.96,40595783,201652,40797435
86,6549675,.301708188,20.68,40807123,205524,41012647
87,6556548,.274004111,22.80,41168554,205792,41374346
88,6575834,.835628261,7.50,43310045,206852,43516897
89,6642067,.847181549,7.47,45578193,207160,45785353
90,6661426,.855803641,7.41,47855203,207927,48063130
91,6901603,.872044578,7.54,50238721,210515,50449236
92,6663011,.403133082,15.75,50615087,208479,50823566
93,6670050,.906995500,7.01,52880607,208899,53089506
94,6815532,.395467061,16.41,53579240,209871,53789111
95,6843458,.874447522,7.45,55880013,210443,56090456
96,6848945,.324155759,20.14,56344983,210679,56555662
97,6925867,.849557236,7.76,58666281,211931,58878212
98,6936541,.459476752,14.38,59673073,212271,59885344
99,6944582,.253738915,26.08,59958609,212587,60171196
100,4959238,.393432180,11.99,60551469,179576,60731045
