Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2182518,.849141662,2.44,494021,119468,613489
2,2757185,.361920808,7.23,984098,134541,1118639
3,3117942,.383311965,7.74,1457670,142065,1599735
4,3134771,.247860012,12.02,1556557,142716,1699273
5,3179275,.297309999,10.19,1716550,143806,1860356
6,3428842,.330142222,9.87,2132149,146894,2279043
7,3426700,.235566663,13.83,2180370,147128,2327498
8,8486332,.680606105,11.88,4058796,172351,4231147
9,10980071,.514456563,20.35,4973707,186150,5159857
10,11100568,.394188534,26.83,5520219,188201,5708420
11,11106769,.315851858,33.52,5611604,188622,5800226
12,11586094,.499967969,22.08,6502002,200205,6702207
13,9302953,.573849846,15.45,7570891,202202,7773093
14,9617771,.448780067,20.43,8347777,204111,8551888
15,9734271,.482801302,19.22,9133122,206108,9339230
16,9755607,.532154910,17.47,10013215,206563,10219778
17,9876379,.605985553,15.52,11038744,216026,11254770
18,10073460,.485470616,19.77,11779372,225776,12005148
19,10103074,.430519833,22.36,12236401,226388,12462789
20,10154343,.586800278,16.49,13368147,227137,13595284
21,10239329,.405479005,24.07,13905432,227667,14133099
22,10298229,.401900254,24.43,14379381,227999,14607380
23,10422176,.543182506,18.28,15163081,230339,15393420
24,10970042,.506937006,20.63,16049594,233855,16283449
25,11070098,.430769931,24.49,16625422,233793,16859215
26,11178454,.459908423,23.17,17163260,234381,17397641
27,11476317,.549843850,19.89,18064639,236474,18301113
28,11653108,.481224679,23.08,18938392,234708,19173100
