Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,32717389,3.170337480,9.84,8915951,167957,9083908
2,29490026,1.421244758,19.78,12439743,161006,12600749
3,56090391,4.580139634,11.67,26470877,729947,27200824
4,55668797,1.646088013,32.24,29131847,727965,29859812
5,55699494,1.503105217,35.33,31627783,728199,32355982
6,55693155,1.086562348,48.87,32567271,728433,33295704
7,53406036,1.821261942,27.96,36290856,304813,36595669
8,74382330,5.108293147,13.88,53127927,1083027,54210954
9,75204083,2.375274774,30.19,58607798,1088666,59696464
10,75870097,2.222722677,32.55,63006082,1091111,64097193
11,76290428,2.118179338,34.34,67514262,1093163,68607425
12,76604029,1.941526771,37.62,70379554,1094791,71474345
13,113371107,7.591691729,14.24,95028416,1579107,96607523
14,113745479,3.201507713,33.88,100990014,1588000,102578014
15,113819265,2.005495091,54.12,102893404,1590364,104483768
16,114667348,2.907808951,37.60,108449954,1597928,110047882
17,114899111,2.729061591,40.14,113314950,1603912,114918862
18,115001266,2.501836983,43.83,117272045,1608221,118880266
19,128212133,8.280144981,14.76,142008059,1743041,143751100
20,129641986,3.867869783,31.96,149820546,1754164,151574710
21,129733854,2.939828092,42.08,154393961,1760145,156154106
22,130668145,3.498928185,35.61,160833038,1766781,162599819
23,130784622,3.087707217,40.39,166109863,1771393,167881256
24,130813859,2.411481062,51.73,168868718,1772342,170641060
25,131451629,2.584168730,48.51,172529596,1773986,174303582
26,166821106,11.812414124,13.46,207272708,2439621,209712329
27,164784358,4.373045398,35.93,215325434,2450630,217776064
28,166881977,3.670603025,43.35,221152775,2460252,223613027
29,167442913,3.878213290,41.17,226873055,2466908,229339963
30,168577785,4.330401592,37.12,234506380,2481280,236987660
31,168718757,3.251593027,49.48,238853916,2489752,241343668
32,168241070,2.908449591,55.16,242021601,2269981,244291582
33,198333680,11.274337004,16.77,275320600,2990940,278311540
34,200589575,5.592803488,34.20,286206605,3015288,289221893
35,199835025,5.291087511,36.01,296262825,3041334,299304159
36,199831830,4.458761819,42.74,303873498,2850844,306724342
37,200027076,3.764253080,50.67,309289853,2863994,312153847
38,237233878,14.704119248,15.38,353948148,3466699,357414847
39,238468950,5.631552695,40.38,363648742,3485210,367133952
