Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,20237220,1.613438144,11.95,3878506,503307,4381813
2,20304307,.578652427,33.45,4330779,504278,4835057
3,20341860,.458745848,42.26,4526429,505327,5031756
4,20362280,.472085933,41.11,4652450,505865,5158315
5,20698589,.583078268,33.83,5081047,512182,5593229
6,20790499,.601016802,32.97,5406155,513296,5919451
7,20873578,.566734012,35.11,5731694,515484,6247178
8,21078740,.617030937,32.57,6269452,518827,6788279
9,21227178,.643797384,31.43,6637585,521377,7158962
10,21386004,1.846123589,11.04,10578565,525119,11103684
11,21498654,.530282767,38.65,10844373,528386,11372759
12,21507592,.492597102,41.63,10996159,528622,11524781
13,21577779,.522766699,39.34,11212300,530108,11742408
14,21563266,.468076031,43.92,11270369,529455,11799824
15,21657072,.596528565,34.61,11689427,531165,12220592
16,21788377,.643108000,32.29,12199074,532897,12731971
17,21832791,.581140139,35.82,12583494,533733,13117227
18,21833427,.481511767,43.23,12644817,533969,13178786
19,21837899,.470070518,44.29,12734203,534205,13268408
20,22086624,.733357055,28.71,13496408,536601,14033009
21,22113265,.492713927,42.78,13640747,536837,14177584
22,22473211,.976552549,21.94,15171325,542030,15713355
23,22528807,.638584588,33.63,15743732,542954,16286686
24,22571592,.712692096,30.19,16418048,544583,16962631
25,22592770,.576027759,37.39,16749433,544786,17294219
26,22646715,.535797627,40.29,16921327,545695,17467022
27,22707852,.580516178,37.29,17250794,546864,17797658
28,22710068,.486805989,44.47,17309724,547204,17856928
29,22750440,.546717856,39.67,17581777,547712,18129489
30,22837903,.575489548,37.82,17871121,549169,18420290
31,22851488,.565770951,38.51,18170594,550125,18720719
32,22912560,.595024924,36.72,18498126,551233,19049359
33,22918926,.526886580,41.47,18663812,551469,19215281
34,22938599,.554872253,39.41,18981511,551826,19533337
35,22974213,.532297986,41.14,19213751,552494,19766245
36,23103620,.654517109,33.65,19611407,554933,20166340
37,23114914,.519130728,42.45,19770873,555454,20326327
38,23117673,.600208158,36.72,19886975,555690,20442665
39,23511769,.595978217,37.61,20132950,564398,20697348
40,23511769,.530928567,42.22,20191915,564634,20756549
41,23709439,.600693807,37.63,20494113,566906,21061019
42,23862319,.600824594,37.86,20742225,569116,21311341
43,23895213,.590799061,38.55,20992092,569697,21561789
44,24010805,.669965220,34.16,21517822,571956,22089778
45,24011659,.538796530,42.48,21597193,572192,22169385
46,24033959,.551363787,41.56,21802631,572428,22375059
47,24064386,.599556476,38.26,22060403,572928,22633331
48,24101564,.573825519,40.04,22272144,574108,22846252
49,24132508,.556805252,41.32,22535159,574320,23109479
50,24154992,.606863692,37.94,22824681,574676,23399357
51,24193274,.557230598,41.40,23113751,575624,23689375
52,24192636,.572031195,40.32,23394956,575740,23970696
53,24222621,.590107160,39.14,23648438,576248,24224686
54,24254001,.617386293,37.46,23986612,576764,24563376
55,24267712,.520803635,44.43,24085062,577257,24662319
56,24284353,.529180166,43.74,24243694,578277,24821971
57,24323473,.602929649,38.46,24504656,579060,25083716
58,24423603,.576807833,40.37,24839103,579904,25419007
59,24423710,.483398841,48.17,24901525,580140,25481665
60,24423710,.557537070,41.77,24962762,580376,25543138
61,24449714,.621653907,37.49,25202750,581244,25783994
62,24453225,.531023909,43.91,25297808,581480,25879288
63,24518300,.606428835,38.55,25656664,583028,26239692
64,24587351,.663201480,35.34,26115177,584449,26699626
65,24672162,.654417191,35.94,26412238,586312,26998550
66,24791802,.718155341,32.91,26996165,588326,27584491
67,24828042,.581124304,40.73,27240324,589010,27829334
68,24857708,.604575851,39.20,27566078,589510,28155588
69,24883530,.575996589,41.19,27798380,589746,28388126
70,24975182,.638793592,37.27,28249478,591270,28840748
71,25003159,.637124306,37.41,28581658,592074,29173732
72,25072694,.565870109,42.25,28774514,593379,29367893
73,25082407,.581975176,41.10,29044406,593887,29638293
74,25102033,.580443222,41.22,29299317,594443,29893760
75,25117816,.592931298,40.39,29481354,594815,30076169
76,25138002,.643348738,37.25,29780460,595211,30375671
77,25140423,.536997173,44.63,29840967,595447,30436414
78,25242311,.771672624,31.19,30526259,596885,31123144
79,25230586,.618640099,38.89,30860961,596398,31457359
80,25835553,.998360476,24.67,31807805,608165,32415970
81,25888634,.613114097,40.25,32071825,608537,32680362
82,26197707,.781083206,31.98,32465755,613019,33078774
83,26461339,.580585497,43.45,32630780,623340,33254120
84,26605974,.732829364,34.61,33032671,625472,33658143
85,26620303,.588628581,43.11,33246904,626004,33872908
86,26620246,.613934290,41.33,33328347,626240,33954587
87,27245871,1.049803914,24.74,34258972,638406,34897378
88,26831239,.754851137,33.88,34570542,629653,35200195
89,27013935,.658488122,39.11,34891000,637014,35528014
90,27108796,.739793640,34.94,35235508,637292,35872800
91,27189877,.675811939,38.36,35449989,638616,36088605
92,28144208,.836073276,32.10,36043925,668051,36711976
93,29381523,1.058192734,26.47,37399703,687983,38087686
94,29542549,.970862926,29.01,38279691,692520,38972211
95,19134677,1.497248181,12.18,41731125,455753,42186878
96,17653746,1.195123955,14.08,43918332,437112,44355444
97,17104702,1.040503812,15.67,45848406,430430,46278836
98,17361383,.669865584,24.70,46610694,425963,47036657
99,17277567,1.085379679,15.17,48616204,428289,49044493
