Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2893228259,149.253831497,18.48,470204134,4978375,475182509
2,2903100297,26.643795456,103.91,479393416,4994488,484387904
3,2881462834,24.606797173,111.67,486698561,4961833,491660394
4,2922130606,26.359130112,105.72,494495287,5354387,499849674
5,2895546390,25.579010506,107.95,500997335,5313628,506310963
6,2927986922,24.139978697,115.67,507315302,5363263,512678565
7,2928351910,26.373678658,105.88,515446316,5364245,520810561
8,2959977391,32.597859073,86.59,522794599,6324559,529119158
9,2942618555,30.239556645,92.80,528356688,6292084,534648772
10,2942116427,30.305095135,92.58,533901433,6294434,540195867
11,2920556300,29.518677606,94.35,537700818,6256382,543957200
12,2918667000,31.454318649,88.49,542405908,6256707,548662615
13,2965411592,34.371516682,82.27,551132189,6371081,557503270
14,2942774093,31.343116692,89.53,557129097,6292348,563421445
15,2963781990,29.762558366,94.96,561162333,6321809,567484142
16,2958441649,29.155442227,96.77,564466276,6318484,570784760
17,3002117829,30.656150216,93.39,569161083,6438021,575599104
18,3022834252,31.697027666,90.94,573688425,6472930,580161355
19,3025366345,30.366688036,95.01,577708392,6478095,584186487
20,3003673086,35.357979528,81.01,582459221,6398617,588857838
21,2954336947,30.426338044,92.59,586964079,6313641,593277720
22,2913028259,31.075682230,89.39,591722107,6243668,597965775
23,2885221566,29.307150407,93.88,596219465,6196208,602415673
24,2874752789,30.902857906,88.71,600639331,6172260,606811591
25,2889635810,30.300679203,90.94,604437118,6197814,610634932
26,2897811142,28.858561081,95.76,607794977,6211873,614006850
27,2888732397,34.687431401,79.42,612148163,6197890,618346053
28,2887493021,29.337485308,93.86,615785585,6193731,621979316
29,2894631484,32.030712314,86.18,620127576,6203845,626331421
30,2898888817,30.211773314,91.50,624630666,6209446,630840112
31,2913442241,30.050826556,92.45,629686940,6235377,635922317
32,2876263451,29.225545010,93.85,633013645,6172586,639186231
33,2841581538,30.163242711,89.84,636154399,6114414,642268813
34,2889946546,59.546367421,46.28,719469049,6192819,725661868
35,2904322746,55.031094354,50.33,792989350,6216725,799206075
36,2916945453,49.111823136,56.64,848673188,6240041,854913229
37,2909444762,47.272775601,58.69,898521703,6227272,904748975
38,2932161032,48.346327045,57.83,938408289,6263221,944671510
39,2909333243,43.202211844,64.22,970474810,6224118,976698928
40,2909799725,42.412012016,65.42,1003185797,6224264,1009410061
41,2931458560,44.847154246,62.33,1034403732,6259654,1040663386
42,2909014987,41.301320964,67.17,1060880150,6222454,1067102604
43,2908104297,41.363944717,67.04,1084565235,6221172,1090786407
44,2911263232,39.371740264,70.51,1103287234,6225627,1109512861
45,2895343856,39.993092068,69.04,1120626570,6199344,1126825914
46,2913888345,38.893263081,71.44,1133412401,6231387,1139643788
47,2934066524,39.449621174,70.92,1147357573,6265855,1153623428
48,2934035463,38.910802402,71.91,1159996287,6264457,1166260744
49,2938467793,40.095916693,69.89,1175300635,6274970,1181575605
50,2914216454,38.075362128,72.99,1189327877,6229663,1195557540
51,2936771266,41.005279242,68.30,1211181166,6270759,1217451925
52,2885231012,33.620658586,81.84,1221359737,6172496,1227532233
53,2888005688,32.082660971,85.84,1228293987,6179760,1234473747
54,2908036703,29.776790562,93.13,1232200281,6209937,1238410218
55,2917624970,32.186560533,86.44,1236660519,6226145,1242886664
56,2914291430,31.932058732,87.03,1242859899,6229964,1249089863
57,2929640541,31.123836895,89.76,1250359343,6255286,1256614629
58,2914994102,29.850580948,93.12,1254191764,6228682,1260420446
59,2919927888,33.101010629,84.12,1259508439,6237565,1265746004
60,2922457317,33.488038203,83.22,1262721541,6238593,1268960134
61,2923544017,34.262271456,81.37,1266243886,6240044,1272483930
62,2923906078,33.535504279,83.14,1270584817,6242739,1276827556
63,2939173097,34.236660038,81.87,1276085490,6275092,1282360582
64,2911403752,30.940299295,89.73,1280709558,6224686,1286934244
65,2920658048,30.532098000,91.22,1285445796,6241582,1291687378
66,2889515139,29.841051246,92.34,1289402767,6190180,1295592947
67,2912341427,29.141652678,95.30,1292873885,6228594,1299102479
68,2915158544,29.472796687,94.32,1296138393,6235750,1302374143
69,2909680624,33.464739316,82.91,1300333028,6223901,1306556929
70,2925838440,31.237571048,89.32,1304544888,6249918,1310794806
71,2941438748,31.337175742,89.51,1308968495,6275815,1315244310
72,2963096568,30.545895279,92.51,1313618050,6308793,1319926843
73,2944045198,33.391968447,84.08,1318385567,6275760,1324661327
74,2934060714,30.789642455,90.87,1321904520,6262662,1328167182
75,2969511599,30.382453300,93.20,1325315252,6321303,1331636555
76,2982592957,30.915028838,92.00,1329277871,6340687,1335618558
77,2980245305,30.339348916,93.67,1333067317,6334401,1339401718
78,2990856249,32.597440010,87.50,1337104665,6352986,1343457651
79,2978016335,31.855570191,89.15,1341463005,6336977,1347799982
80,2993731446,30.750187663,92.84,1345480090,6363026,1351843116
81,2957052307,33.632694957,83.84,1348941162,6297096,1355238258
82,2965514380,30.876725673,91.59,1352364221,6310463,1358674684
83,2980400979,31.071036148,91.47,1359684467,6333488,1366017955
84,2986199022,32.613684417,87.32,1363531497,6347046,1369878543
85,2985530551,31.312368067,90.92,1367505133,6347312,1373852445
86,2955359825,30.583367195,92.15,1373058585,6298239,1379356824
87,2962001643,30.423955873,92.84,1378567550,6306756,1384874306
88,2954153471,30.180067105,93.34,1381701085,6291159,1387992244
89,2981102134,32.134318109,88.47,1384960648,6337394,1391298042
90,2987070817,33.538059372,84.93,1391693865,6336143,1398030008
91,2968327047,30.534122651,92.70,1395962258,6307018,1402269276
92,2997313589,30.753454402,92.94,1400069467,6359478,1406428945
93,2996490034,31.027991519,92.09,1404331918,6359724,1410691642
94,2999595066,33.898237413,84.38,1409465415,6364981,1415830396
95,2998331717,33.098823176,86.39,1413826228,6367129,1420193357
96,3002090481,34.938841966,81.94,1419104011,6374979,1425478990
97,2984726397,31.034075227,91.72,1421557770,6344132,1427901902
98,3002824091,30.451130973,94.04,1424798691,6373980,1431172671
99,3056161461,34.956603316,83.37,1428934583,6458348,1435392931
100,3041192998,35.044041520,82.76,1433409832,6433292,1439843124
101,3025812882,35.725297577,80.77,1437603373,6412396,1444015769
102,3004960304,32.911444250,87.07,1441253968,6373058,1447627026
