Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,32717389,2.272134367,13.73,8915951,167957,9083908
2,29490026,1.271966893,22.10,12439743,161006,12600749
3,56090391,4.172453637,12.81,26470877,729947,27200824
4,55668797,1.401464595,37.87,29131847,727965,29859812
5,55699494,1.431625957,37.09,31627783,728199,32355982
6,55693155,1.030924082,51.51,32567271,728433,33295704
7,53406036,1.666771242,30.55,36290856,304813,36595669
8,74382330,4.903708346,14.46,53127927,1083027,54210954
9,75204083,2.361782431,30.36,58607798,1088666,59696464
10,75870097,2.104859926,34.37,63006082,1091111,64097193
11,76290428,2.109714029,34.48,67514262,1093163,68607425
12,76604029,1.667771087,43.80,70379554,1094791,71474345
13,113371107,7.266385038,14.87,95028416,1579107,96607523
14,113745479,2.863001458,37.88,100990014,1588000,102578014
15,113819265,1.864139487,58.22,102893404,1590364,104483768
16,114667348,2.803309140,39.00,108449954,1597928,110047882
17,114899111,2.609906802,41.98,113314950,1603912,114918862
18,115001266,2.438006409,44.98,117272045,1608221,118880266
19,128212133,7.883878212,15.50,142008059,1743041,143751100
20,129641986,3.673036021,33.65,149820546,1754164,151574710
21,129733854,2.683959757,46.09,154393961,1760145,156154106
22,130668145,3.377549579,36.89,160833038,1766781,162599819
23,130784622,3.000205145,41.57,166109863,1771393,167881256
24,130813859,2.244012143,55.59,168868718,1772342,170641060
25,131451629,2.488015736,50.38,172529596,1773986,174303582
26,166821106,11.264223412,14.12,207272708,2439621,209712329
27,164784358,4.293965978,36.59,215325434,2450630,217776064
28,166881977,3.576971715,44.49,221152775,2460252,223613027
29,167442913,3.716164189,42.96,226873055,2466908,229339963
30,168577785,4.281787738,37.54,234506380,2481280,236987660
31,168718757,3.199788263,50.28,238853916,2489752,241343668
32,168241070,2.829280359,56.70,242021601,2269981,244291582
33,198333680,10.973202396,17.23,275320600,2990940,278311540
34,200589575,5.562669144,34.38,286206605,3015288,289221893
35,199835025,5.256832338,36.25,296262825,3041334,299304159
36,199831830,4.366042820,43.64,303873498,2850844,306724342
37,200027076,3.889246014,49.04,309289853,2863994,312153847
38,237233878,14.616746393,15.47,353948148,3466699,357414847
39,238468950,5.498886572,41.35,363648742,3485210,367133952
40,240057729,6.108674305,37.47,375710369,3530851,379241220
41,266028582,12.186040405,20.81,411144115,3986132,415130247
42,267895079,5.700584575,44.81,419692034,3992464,423684498
43,268010507,7.483884552,34.15,436326815,3996996,440323811
44,268216912,5.672609969,45.09,444455233,4002768,448458001
45,265840056,4.349417331,58.28,449249728,4005251,453254979
46,352587918,20.091764575,16.73,509586623,6796350,516382973
47,350653798,7.399761171,45.19,520833648,6815186,527648834
48,350996096,6.530497127,51.25,528756007,6825422,535581429
49,353255236,6.030776572,55.86,536089199,6842450,542931649
50,353438271,5.876528541,57.35,542815988,6856950,549672938
51,353427901,5.848743049,57.62,548564948,6864722,555429670
52,353452954,5.257594419,64.11,552022963,6866550,558889513
53,371780260,19.425818158,18.25,605906433,7307868,613214301
54,372022126,6.553206941,54.13,613526313,7326534,620852847
55,372317542,7.303165290,48.61,621998042,7337715,629335757
56,372581027,6.313300748,56.28,628685261,7357026,636042287
57,372784320,5.854476879,60.72,633938645,7373758,641312403
58,372986229,6.216611801,57.21,640158289,7382555,647540844
59,373087756,5.580885797,63.75,644476619,7387775,651864394
60,373150015,5.616414978,63.36,648480331,7393379,655873710
61,388600680,17.174223567,21.57,693184683,7719471,700904154
62,389179254,8.649399314,42.91,704926722,7738237,712664959
63,390466995,6.889304407,54.05,713356794,7752145,721108939
64,390701350,6.518567558,57.15,720442354,7764565,728206919
65,390890724,6.650121360,56.05,727419232,7777827,735197059
