Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,198932586,11.990991715,15.82,52951779,1693063,54644842
2,203170075,8.339646962,23.23,80183759,1718410,81902169
3,201379784,4.475349930,42.91,89757489,1712030,91469519
4,202001104,2.654124378,72.58,91877117,1714750,93591867
5,202421962,2.731104626,70.68,94062803,1717941,95780744
6,202551971,2.132761906,90.56,94670740,1719433,96390173
7,203142928,2.343713579,82.65,95165183,1719572,96884755
8,209474517,8.009607472,24.94,121340282,1793641,123133923
9,206185412,4.519127935,43.51,130008925,1757052,131765977
10,206101163,2.322212774,84.63,131104813,1757193,132862006
11,206747690,2.765611515,71.28,133213630,1765537,134979167
12,209287831,2.764560480,72.19,134807787,1793136,136600923
13,209400444,2.143911593,93.14,135315938,1794332,137110270
14,209442438,2.156031363,92.63,135620330,1794656,137414986
15,209471141,2.239929459,89.18,135861303,1795292,137656595
16,213859628,7.674434444,26.57,160760988,1827045,162588033
17,212903056,3.829710066,53.01,167542826,1824944,169367770
18,213133328,2.667629695,76.19,169214721,1826972,171041693
19,213609387,2.562269379,79.50,170530314,1826768,172357082
20,213842345,2.260251825,90.22,170911744,1827797,172739541
21,213853535,2.228066287,91.53,171122927,1828129,172951056
22,217810317,8.847112623,23.47,199919128,1868414,201787542
23,217914677,3.927561886,52.91,207334360,1868780,209203140
24,217797201,2.622924681,79.18,208890416,1868870,210759286
25,217817349,2.332835489,89.04,209596206,1869114,211465320
26,217831404,2.204576587,94.23,209933011,1869350,211802361
27,217814780,2.331160696,89.10,210466206,1869594,212335800
28,217802064,2.324919569,89.34,210898057,1869830,212767887
29,217808150,2.176229805,95.44,211100218,1870066,212970284
30,223347298,9.496648553,22.42,242597692,1910506,244508198
31,222527864,5.030815024,42.18,253393964,1906842,255300806
32,223081536,3.213928285,66.19,256622506,1910088,258532594
33,223268371,2.845424051,74.82,258849328,1911128,260760456
34,223326076,2.416796312,88.12,259812427,1911546,261723973
35,223305456,2.351800807,90.55,260438194,1911598,262349792
36,223332821,2.425121298,87.82,260879601,1911834,262791435
37,225821373,9.401783549,22.90,291704776,1943250,293648026
38,226889655,4.488025635,48.21,300918695,1945692,302864387
39,225528153,2.991323273,71.90,303514240,1942185,305456425
40,225583764,2.590011283,83.06,304729951,1942622,306672573
41,225668136,2.756072799,78.08,306055881,1943250,307999131
42,225797657,2.440536257,88.23,306670646,1944342,308614988
43,225806624,2.316525883,92.95,306870418,1944666,308815084
44,228972842,11.602338171,18.82,346542888,2009993,348552881
45,228264119,5.408830285,40.24,359743273,2007324,361750597
46,228507231,3.013177259,72.32,362034742,2007653,364042395
47,228516631,2.627831300,82.93,363191570,2007889,365199459
48,228572753,2.706813240,80.53,364638639,2008293,366646932
49,228889531,2.570989879,84.90,365434764,2009813,367444577
50,228945488,2.428717461,89.89,365743906,2010433,367754339
51,228949377,2.285565214,95.52,365901763,2011541,367913304
52,234797399,11.624313627,19.26,403310326,2079664,405389990
53,233764661,6.334235885,35.19,418633355,2073893,420707248
54,234513721,4.096142603,54.59,423416399,2078996,425495395
55,234713523,3.074823591,72.79,425385307,2079404,427464711
56,234757879,2.552853027,87.69,426059857,2080023,428139880
57,234756520,2.591862336,86.37,426724227,2080372,428804599
58,234768686,2.417378849,92.61,427176084,2080704,429256788
59,238394457,9.433666907,24.09,457383183,2114343,459497526
60,238087975,4.279092634,53.06,464379086,2114259,466493345
61,238121863,2.830664600,80.22,465778055,2114423,467892478
62,238123525,2.576350537,88.14,466420644,2114555,468535199
63,238184306,2.520773319,90.11,466894016,2114791,469008807
64,238217593,2.502771359,90.77,467435763,2115035,469550798
65,238373942,2.562087657,88.72,467975682,2115655,470091337
66,238389291,2.440036814,93.17,468277670,2115995,470393665
67,242308032,9.828088759,23.51,499840044,2148930,501988974
68,242050764,4.777402277,48.31,508499442,2148252,510647694
69,242261210,2.949074565,78.33,510532181,2150425,512682606
70,242284180,3.004124730,76.91,512556299,2150196,514706495
71,242257921,2.673014201,86.43,513477530,2150128,515627658
72,242295390,2.553393977,90.49,514360786,2150364,516511150
73,242277276,2.618973597,88.22,515005178,2150216,517155394
74,242295522,2.375855756,97.25,515163939,2150582,517314521
75,250367302,10.497485422,22.74,549594869,2229304,551824173
76,252085693,10.297407589,23.34,582057722,2241659,584299381
77,259905377,12.315045601,20.12,623566797,2298406,625865203
78,271370297,12.454383913,20.77,665194196,2375698,667569894
79,276025097,12.162317356,21.64,704633939,2422748,707056687
