Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,34616457,1.744139073,18.92,12424635,152014,12576649
2,38557348,.940001879,39.11,16301829,158993,16460822
3,35738095,.600959737,56.70,16842431,158308,17000739
4,35536618,.451857581,75.00,17112634,152058,17264692
5,35538209,.427360464,79.30,17160360,152092,17312452
6,38617421,.475633302,77.41,17449813,155264,17605077
7,39142519,.514028224,72.60,17740857,161083,17901940
8,39650978,.436528148,86.61,17803808,161421,17965229
9,40425999,.515907080,74.72,18064647,162328,18226975
10,41020690,.492665705,79.40,18393375,163177,18556552
11,41585619,.456542088,86.84,18420596,163517,18584113
12,42148638,.469659349,85.57,18485866,163753,18649619
13,42776701,.461158353,88.45,18661168,165389,18826557
14,43710311,.483426533,86.21,19143449,167586,19311035
15,45486398,.654212032,66.29,19853863,168860,20022723
16,43755730,.516893826,80.71,20099461,167608,20267069
17,44354293,.443379278,95.38,20148800,168500,20317300
18,46629558,.478994271,92.81,20286731,169672,20456403
19,47239039,.534188891,84.33,20476026,175502,20651528
20,47920628,.542436032,84.24,20813017,175562,20988579
21,48925664,.660254630,70.65,21435401,180929,21616330
22,49608561,.558315260,84.73,21739461,182943,21922404
23,51207207,.812653155,60.08,23385901,185872,23571773
24,51793370,.640050362,77.16,23883844,185931,24069775
25,52385283,.565377206,88.34,24195461,186543,24382004
26,53564110,.924950205,55.22,26755714,170498,26926212
27,53989551,.579781989,88.79,27013659,189627,27203286
28,54338805,.565633850,91.61,27265154,171186,27436340
29,54985995,.569036043,92.13,27504848,175001,27679849
30,56230509,.730128011,73.43,28658773,187168,28845941
31,56278130,.541478974,99.11,28716028,187508,28903536
32,56278222,.554795622,96.73,28723734,187849,28911583
33,56278222,.538677144,99.63,28730513,188085,28918598
34,56062835,.562675267,95.01,28875235,187474,29062709
35,60945790,1.158701378,50.15,33432658,187695,33620353
36,61000908,.578386337,100.57,33608196,185707,33793903
37,59178885,1.153512408,48.92,38961999,185894,39147893
38,31068062,2.049519045,14.45,46418200,406306,46824506
39,61151151,1.089410758,53.52,47711584,205258,47916842
40,56280706,.844301941,63.56,48529218,189318,48718536
41,56241220,.776390418,69.07,49226832,191067,49417899
42,61162356,.940784057,61.99,50105370,205590,50310960
43,61162470,.590259410,98.80,50112880,205826,50318706
44,6658202,.595213084,10.65,51067444,158269,51225713
45,6671624,.254328223,25.00,51289735,158697,51448432
46,6984898,.442549730,15.04,51807484,161740,51969224
47,9227260,.591047107,14.87,52828451,167991,52996442
48,8979109,.330836831,25.87,53195754,164250,53360004
49,9034823,.356502849,24.15,53379146,166033,53545179
50,9176711,.288562220,30.32,53574476,168491,53742967
51,9189389,.235345992,37.22,53689356,168583,53857939
52,9209694,.277833297,31.60,53738306,168819,53907125
53,9245107,.272080297,32.38,53918103,169703,54087806
54,9245997,.311092406,28.31,54206111,168857,54374968
55,9485431,.424617361,21.28,54723662,175502,54899164
56,9162148,.297830269,29.31,54841168,169133,55010301
57,9471559,.275589861,32.76,55100141,169290,55269431
58,9169132,.292505421,29.87,55219125,169733,55388858
59,9542925,.402177549,22.62,55660106,176911,55837017
60,9548647,.204632209,44.47,55710120,177147,55887267
61,10752056,.629084982,16.29,56909685,187994,57097679
62,10790619,.545421257,18.86,57817973,190152,58008125
63,10801329,.273414252,37.67,57992087,190755,58182842
64,11096549,.449525223,23.53,58556573,193411,58749984
65,10801642,.302829272,34.01,58591315,191227,58782542
66,10982102,.361835758,28.93,58864294,192995,59057289
67,11100834,.276037985,38.32,59059630,193975,59253605
68,11360361,.415674274,26.05,59525170,197595,59722765
69,11402724,.315824884,34.41,59705740,197928,59903668
70,11703223,.430024804,25.95,60202594,205590,60408184
71,11420117,.306784982,35.49,60315722,198633,60514355
72,11903936,.458802230,24.73,60782055,207474,60989529
73,11719542,.411207672,27.16,61009237,206888,61216125
74,11908987,.322687697,35.17,61084033,207946,61291979
75,11961218,.342182865,33.31,61332899,208638,61541537
76,11972802,.333571997,34.20,61406240,208874,61615114
77,11990287,.268337448,42.59,61494458,209110,61703568
78,12056274,.340024612,33.79,61638199,209490,61847689
79,12069646,.304894884,37.75,61744610,209726,61954336
80,12940032,.641239272,19.24,62827788,221221,63049009
81,12149457,.508005656,22.79,63401406,214251,63615657
82,12940032,.353302717,34.92,63402716,221693,63624409
83,15778518,.766116620,19.63,64862814,278348,65141162
84,15778779,.373306342,40.28,64879439,278584,65158023
85,15778786,.319008370,47.14,64932844,278820,65211664
86,15871648,.574742534,26.32,65777764,280354,66058118
87,16341090,.492431167,31.63,66337485,286655,66624140
88,16570602,.903000735,17.49,67881053,287602,68168655
89,16560393,.389268508,40.56,68093016,287838,68380854
90,31068062,.737938449,40.13,68094327,418578,68512905
91,19257030,.537984029,34.12,68324003,315745,68639748
92,19257196,.366554247,50.08,68336872,315981,68652853
93,19254232,.401792436,45.69,68348879,316217,68665096
94,24097471,1.480106060,15.52,71743593,401881,72145474
95,24312533,.784320480,29.55,72987817,402033,73389850
96,24484590,.737761158,31.64,74162372,404778,74567150
97,24511611,.515989824,45.29,74480326,405126,74885452
98,24511689,.455692269,51.28,74499514,405362,74904876
99,38230903,3.072327674,11.86,81935065,1198379,83133444
100,34457680,1.833428614,17.92,85623171,1084220,86707391
