filename,original_bytes,compressed_bytes,compression_ratio,throughput_MiB_s
br-1-4.tar,1423360,334538,4.2547,58.3359
br-1-5.tar,2048000,450458,4.5464,89.6916
br-1-6.tar,2396160,519341,4.6138,86.7906
br-1-7.tar,3246080,630021,5.1523,72.9033
br-1-8.tar,3819520,746724,5.1150,98.1601
br-1-9.tar,4126720,819532,5.0354,102.4603
branchpoint-1-10.tar,4444160,893071,4.9762,95.5417
branchpoint-1-5.tar,1730560,315114,5.4918,91.4641
branchpoint-1-6.tar,2344960,507133,4.6239,59.8489
branchpoint-1-7.tar,2949120,566053,5.2099,69.5026
branchpoint-1-8.tar,3706880,720491,5.1449,70.5092
branchpoint-1-9.tar,3921920,766779,5.1147,94.6440
branchpoint-real-1-5.tar,2037760,449945,4.5289,87.7426
handle-languages.tar,2304000,414879,5.5534,66.3295
last-merge-into-user-dep-gen-branch.tar,1812480,329460,5.5013,80.0233
merging-into-user-dep-gen.tar,1843200,334027,5.5181,45.2875
ng-0.5a.tar,7127040,1430068,4.9837,106.2877
pre-depend-change.tar,1484800,271140,5.4761,80.2111
pre-ian-conditionals.tar,1372160,247386,5.5466,48.5497
Release-1-10-1.tar,4556800,918959,4.9586,64.5567
Release-1-10.tar,4444160,893177,4.9756,67.3444
Release-1-7-8.tar,3235840,629258,5.1423,72.3157
Release-1-7-9.tar,3235840,629692,5.1387,67.5393
Release-1-7b.tar,3645440,708346,5.1464,69.8460
Release-1-7d.tar,3665920,712392,5.1459,97.3509
Release-1-7f.tar,3676160,713126,5.1549,77.1136
Release-1-7h.tar,3686400,717111,5.1406,74.2999
Release-1-7.tar,2949120,565998,5.2104,71.1587
Release-1-8-0b.tar,3737600,726079,5.1476,101.7576
Release-1-8-1.tar,3747840,728388,5.1453,93.6238
Release-1-8-2b.tar,3809280,743999,5.1200,114.7110
Release-1-8-2.tar,3747840,729191,5.1397,102.5176
Release-1-8-3b.tar,3819520,745781,5.1215,97.5426
Release-1-8-3.tar,3809280,744067,5.1195,77.0374
Release-1-8-4.tar,3809280,745558,5.1093,97.5275
Release-1-8-5.tar,3819520,746299,5.1179,105.9332
Release-1-8b.tar,3911680,763457,5.1236,105.8482
Release-1-8d.tar,3942400,768880,5.1274,80.8865
Release-1-8.tar,3706880,720535,5.1446,106.0735
Release-1-9-1.tar,3932160,768135,5.1191,104.6733
Release-1-9-2.tar,3993600,787324,5.0723,112.8959
Release-1-9-3.tar,4003840,791791,5.0566,101.1604
Release-1-9-4.tar,4055040,803116,5.0491,109.7613
Release-1-9-5b.tar,4126720,819383,5.0363,105.0459
Release-1-9-5.tar,4075520,808846,5.0386,99.6853
Release-1-9-6.tar,4126720,819116,5.0380,81.3834
Release-1-9b.tar,4423680,889042,4.9757,74.6357
Release-1-9.tar,3921920,766618,5.1158,80.7339
user-dep-gen-abandoned-branch.tar,1454080,333320,4.3624,122.5012
user-dep-gen-branchpoint.tar,1771520,321470,5.5106,77.1570
user-dep-gen-merge-abandoned-branch.tar,1464320,335600,4.3632,123.2028
user-dep-gen-merge-branchpoint.tar,1433600,330595,4.3364,36.6824
v1.10.2.tar,4628480,933240,4.9595,69.2378
v1.10.3.tar,4700160,948888,4.9533,83.3419
v1.10b.tar,5007360,1018576,4.9160,111.6965
v1.11.1b.tar,5908480,1179552,5.0090,72.8768
v1.11.1.tar,5109760,1038398,4.9208,99.4382
v1.11.2b.tar,5693440,1165098,4.8866,104.9754
v1.11.2.tar,5908480,1180951,5.0031,72.9241
v1.11.3b.tar,5744640,1176674,4.8820,83.1868
v1.11.3.tar,5693440,1166583,4.8804,70.6696
v1.11.4.tar,5744640,1177604,4.8782,100.2377
v1.11.5.tar,5754880,1178216,4.8844,98.3337
v1.11.6.tar,5754880,1178455,4.8834,70.8257
v1.11b.tar,7208960,1441912,4.9995,87.7580
v1.11d.tar,7229440,1450063,4.9856,109.2460
v1.11.tar,5068800,1028694,4.9274,108.2381
v1.12.0b.tar,7301120,1462134,4.9934,107.7796
v1.12.1.tar,7301120,1462575,4.9919,108.9282
v1.12.2.tar,7331840,1467179,4.9972,79.3559
v1.12.3.tar,7321600,1468457,4.9859,104.1502
v1.12.4.tar,7331840,1469595,4.9890,87.9234
v1.12.5.tar,7331840,1474054,4.9739,110.1592
v1.12.6.tar,7372800,1483868,4.9686,118.7300
