filename,compressed_bytes,restored_bytes,throughput_MiB_s
br-1-4.tar.zst,334538,1423360,371.2944
br-1-5.tar.zst,450458,2048000,411.3877
br-1-6.tar.zst,519341,2396160,377.9714
br-1-7.tar.zst,630021,3246080,513.1273
br-1-8.tar.zst,746724,3819520,566.1020
br-1-9.tar.zst,819532,4126720,586.2231
branchpoint-1-10.tar.zst,893071,4444160,598.2414
branchpoint-1-5.tar.zst,315114,1730560,448.8097
branchpoint-1-6.tar.zst,507133,2344960,463.8335
branchpoint-1-7.tar.zst,566053,2949120,535.1396
branchpoint-1-8.tar.zst,720491,3706880,578.2033
branchpoint-1-9.tar.zst,766779,3921920,589.7184
branchpoint-real-1-5.tar.zst,449945,2037760,450.9045
handle-languages.tar.zst,414879,2304000,495.4395
last-merge-into-user-dep-gen-branch.tar.zst,329460,1812480,445.8670
merging-into-user-dep-gen.tar.zst,334027,1843200,451.9763
ng-0.5a.tar.zst,1430068,7127040,671.3936
pre-depend-change.tar.zst,271140,1484800,412.2464
pre-ian-conditionals.tar.zst,247386,1372160,407.8863
Release-1-10-1.tar.zst,918959,4556800,614.9946
Release-1-10.tar.zst,893177,4444160,596.0020
Release-1-7-8.tar.zst,629258,3235840,559.3250
Release-1-7-9.tar.zst,629692,3235840,555.3454
Release-1-7b.tar.zst,708346,3645440,569.1494
Release-1-7d.tar.zst,712392,3665920,580.6931
Release-1-7f.tar.zst,713126,3676160,576.2819
Release-1-7h.tar.zst,717111,3686400,579.0957
Release-1-7.tar.zst,565998,2949120,542.2362
Release-1-8-0b.tar.zst,726079,3737600,581.0723
Release-1-8-1.tar.zst,728388,3747840,575.7814
Release-1-8-2b.tar.zst,743999,3809280,578.5444
Release-1-8-2.tar.zst,729191,3747840,581.0658
Release-1-8-3b.tar.zst,745781,3819520,580.2479
Release-1-8-3.tar.zst,744067,3809280,588.5012
Release-1-8-4.tar.zst,745558,3809280,578.7545
Release-1-8-5.tar.zst,746299,3819520,585.4790
Release-1-8b.tar.zst,763457,3911680,579.8323
Release-1-8d.tar.zst,768880,3942400,587.6082
Release-1-8.tar.zst,720535,3706880,578.7334
Release-1-9-1.tar.zst,768135,3932160,589.4649
Release-1-9-2.tar.zst,787324,3993600,579.1644
Release-1-9-3.tar.zst,791791,4003840,589.5006
Release-1-9-4.tar.zst,803116,4055040,584.9542
Release-1-9-5b.tar.zst,819383,4126720,591.3268
Release-1-9-5.tar.zst,808846,4075520,594.6782
Release-1-9-6.tar.zst,819116,4126720,579.3049
Release-1-9b.tar.zst,889042,4423680,604.9348
Release-1-9.tar.zst,766618,3921920,589.3480
user-dep-gen-abandoned-branch.tar.zst,333320,1454080,385.6723
user-dep-gen-branchpoint.tar.zst,321470,1771520,450.8358
user-dep-gen-merge-abandoned-branch.tar.zst,335600,1464320,393.6721
user-dep-gen-merge-branchpoint.tar.zst,330595,1433600,389.4880
v1.10.2.tar.zst,933240,4628480,602.1393
v1.10.3.tar.zst,948888,4700160,611.8904
v1.10b.tar.zst,1018576,5007360,619.4235
v1.11.1b.tar.zst,1179552,5908480,633.6001
v1.11.1.tar.zst,1038398,5109760,626.4428
v1.11.2b.tar.zst,1165098,5693440,631.0225
v1.11.2.tar.zst,1180951,5908480,650.6617
v1.11.3b.tar.zst,1176674,5744640,642.1148
v1.11.3.tar.zst,1166583,5693440,638.9123
v1.11.4.tar.zst,1177604,5744640,638.4875
v1.11.5.tar.zst,1178216,5754880,646.2454
v1.11.6.tar.zst,1178455,5754880,644.2122
v1.11b.tar.zst,1441912,7208960,682.2012
v1.11d.tar.zst,1450063,7229440,683.7203
v1.11.tar.zst,1028694,5068800,620.5061
v1.12.0b.tar.zst,1462134,7301120,689.5381
v1.12.1.tar.zst,1462575,7301120,673.2031
v1.12.2.tar.zst,1467179,7331840,671.8804
v1.12.3.tar.zst,1468457,7321600,683.3659
v1.12.4.tar.zst,1469595,7331840,687.3095
v1.12.5.tar.zst,1474054,7331840,678.2305
v1.12.6.tar.zst,1483868,7372800,677.4671
v1.12b.tar.zst,1484715,7352320,682.2104
v1.12.tar.zst,1451736,7239680,685.8665
v1.13.1b.tar.zst,1489297,7372800,670.9167
v1.13.1d.tar.zst,1497013,7413760,675.5932
v1.13.1.tar.zst,1487564,7372800,670.0474
v1.13.2b.tar.zst,1500147,7413760,671.7874
v1.13.2.tar.zst,1497069,7413760,681.9112
v1.13.3.tar.zst,1500490,7413760,684.1990
v1.13.4.tar.zst,1501793,7434240,666.0359
v1.13b.tar.zst,1518586,7526400,669.2239
v1.13.tar.zst,1485411,7362560,675.4715
v1.14.1.tar.zst,1522286,7546880,683.3412
v1.14.tar.zst,1521355,7546880,673.2206
v1.15.1.tar.zst,1542397,7639040,682.8564
v1.15.tar.zst,1526309,7567360,678.8576
v1.16.1.tar.zst,1550959,7669760,679.4415
v1.16.2.tar.zst,1553179,7680000,678.1662
v1.16.3.tar.zst,1596052,7823360,681.3577
v1.16.4.tar.zst,1603842,7864320,684.0323
v1.16.5.tar.zst,1605340,7864320,685.9821
v1.16.90.tar.zst,1623901,7956480,683.9565
v1.16.92.tar.zst,1626919,7966720,690.6702
v1.16i.tar.zst,1620969,7925760,690.3273
v1.16.tar.zst,1550787,7669760,684.9136
v1.17.tar.zst,1629465,7976960,697.2747
ylwrap-refactor-abandoned-branch.tar.zst,1170033,5744640,648.2634


Total_decompressed_files: 100
Mean_throughput_MiB_s: 598.5535
Std_dev_MiB_s: 87.4632
95%_CI_MiB_s: [581.4107, 615.6963]
