filename,compressed_bytes,restored_bytes,throughput_MiB_s
v3.10.10.tar.zst,25489264,98324480,805.9199
v3.10.11.tar.zst,25529411,98375680,822.8770
v3.10.12.tar.zst,25530412,98457600,816.7985
v3.10.13.tar.zst,25515915,98478080,821.6398
v3.10.14.tar.zst,25539258,98529280,819.4263
v3.10.15.tar.zst,25570524,98580480,818.4746
v3.10.16.tar.zst,25565700,98600960,817.8630
v3.10.17.tar.zst,25546865,98467840,823.9809
v3.10.18.tar.zst,25559398,98519040,818.0522
v3.10.4.tar.zst,25118294,97372160,808.5260
v3.10.5.tar.zst,25134554,97474560,810.5439
v3.10.6.tar.zst,25422227,97935360,820.2173
v3.10.7.tar.zst,25436587,98007040,801.0596
v3.10.8.tar.zst,25473613,98058240,805.5706
v3.10.9.tar.zst,25464892,98160640,819.0117
v3.11.0a1.tar.zst,24401271,94945280,800.7190
v3.11.0a2.tar.zst,24451848,95252480,810.3862
v3.11.0a3.tar.zst,24534206,95641600,818.3221
v3.11.0a4.tar.zst,24547274,95979520,809.4584
v3.11.0a5.tar.zst,24602137,96163840,812.3196
v3.11.0a6.tar.zst,24665982,96419840,804.6716
v3.11.0a7.tar.zst,25159903,96808960,815.7475
v3.11.0b1.tar.zst,25232721,97269760,813.9552
v3.11.0b2.tar.zst,25378807,98908160,822.9359
v3.11.0b3.tar.zst,25405533,98918400,815.3820
v3.11.0b4.tar.zst,25454386,99143680,821.1682
v3.11.0b5.tar.zst,25702632,99522560,822.9255
v3.11.0rc1.tar.zst,25764535,99604480,819.0122
v3.11.0rc2.tar.zst,25770872,99696640,818.2218
v3.11.0.tar.zst,25748203,99768320,803.3824
v3.11.10.tar.zst,26223595,101580800,812.7426
v3.11.11.tar.zst,26228342,101591040,817.5268
v3.11.12.tar.zst,26232238,101959680,513.4194
v3.11.13.tar.zst,26229798,102021120,275.9383
v3.11.1.tar.zst,25830741,100034560,270.9345
v3.11.2.tar.zst,25944352,100259840,283.8064
v3.11.3.tar.zst,25943384,100311040,288.1397
v3.11.4.tar.zst,25991455,100628480,287.3640
v3.11.5.tar.zst,26050189,100751360,289.6865
v3.11.6.tar.zst,26078962,100864000,292.0377
v3.11.7.tar.zst,26114054,101058560,201.1605
v3.11.8.tar.zst,26179206,101273600,202.3684
v3.11.9.tar.zst,26204695,101519360,205.3624
v3.12.0a1.tar.zst,25711519,99307520,208.8316
v3.12.0a2.tar.zst,25564859,98355200,202.0781
v3.12.0a3.tar.zst,25641986,98754560,216.6436
v3.12.0a4.tar.zst,25665504,98734080,230.6689
v3.12.0a5.tar.zst,25707119,99010560,225.6377
v3.12.0a6.tar.zst,25762158,99266560,235.9268
v3.12.0a7.tar.zst,25822390,99604480,231.2080
v3.12.0b1.tar.zst,26090214,100700160,241.7703
v3.12.0b2.tar.zst,26319119,103495680,255.4510
v3.12.0b3.tar.zst,26337978,103577600,249.2853
v3.12.0b4.tar.zst,26375762,103649280,245.0516
v3.12.0rc1.tar.zst,26401570,103823360,248.3059
v3.12.0rc2.tar.zst,26694738,104263680,248.1371
v3.12.0rc3.tar.zst,26706150,104325120,245.6693
v3.12.0.tar.zst,26692799,104355840,247.7060
v3.12.10.tar.zst,26840749,106004480,252.6138
v3.12.11.tar.zst,26838969,106055680,248.2332
v3.12.1.tar.zst,26796301,104857600,256.0029
v3.12.2.tar.zst,26816154,105154560,255.0509
v3.12.3.tar.zst,26844968,105420800,257.9881
v3.12.4.tar.zst,26914242,105635840,254.4410
v3.12.5.tar.zst,26731380,105564160,255.6440
v3.12.6.tar.zst,26726017,105687040,250.2534
v3.12.7.tar.zst,26743092,105717760,239.8227
v3.12.8.tar.zst,26786963,105984000,245.2710
v3.12.9.tar.zst,26816050,106158080,245.3211
v3.13.0a1.tar.zst,26226743,101017600,243.5920
v3.13.0a2.tar.zst,26338280,101406720,243.1853
v3.13.0a3.tar.zst,26465793,101969920,241.6116
v3.13.0a4.tar.zst,26877529,102963200,207.4727
v3.13.0a5.tar.zst,26951309,103731200,193.2359
v3.13.0a6.tar.zst,27200708,104335360,198.6724
v3.13.0b1.tar.zst,27364197,105523200,213.2055
v3.13.0b2.tar.zst,27474894,105768960,187.6274
v3.13.0b3.tar.zst,27195516,105697280,194.7957
v3.13.0b4.tar.zst,27242945,105902080,205.1818
v3.13.0rc1.tar.zst,27250543,105953280,228.4268
v3.13.0rc2.tar.zst,27540303,108605440,200.9478
v3.13.0rc3.tar.zst,28972487,110151680,198.0572
v3.13.0.tar.zst,28943226,110161920,204.6199
v3.13.1.tar.zst,29097235,110684160,194.6172
v3.13.2.tar.zst,29128200,110909440,204.1359
v3.13.3.tar.zst,29182944,110827520,207.8733
v3.13.4.tar.zst,29191602,111073280,199.3506
v3.13.5.tar.zst,29371805,111226880,166.0844
v3.14.0a1.tar.zst,29124980,109383680,162.1764
v3.14.0a2.tar.zst,29261589,110018560,202.0573
v3.14.0a3.tar.zst,29346933,110417920,217.8309
v3.14.0a4.tar.zst,29406488,110786560,196.4234
v3.14.0a5.tar.zst,29492158,111155200,208.3896
v3.14.0a6.tar.zst,29653258,112066560,184.0622
v3.14.0a7.tar.zst,29726499,112496640,198.3720
v3.14.0b1.tar.zst,30148459,114329600,199.1075
v3.14.0b2.tar.zst,30392300,117309440,215.3343
v3.14.0b3.tar.zst,30479711,117688320,170.0848
v3.14.0b4.tar.zst,30514850,117760000,210.7777
v3.14.0rc1.tar.zst,30559634,117903360,190.1272


Total_decompressed_files: 100
Mean_throughput_MiB_s: 417.5951
Std_dev_MiB_s: 276.4688
95%_CI_MiB_s: [363.4072, 471.7830]
