filename,original_bytes,compressed_bytes,compression_ratio,throughput_MiB_s
gcc-10.1.0.tar,635351040,114534688,5.5472,185.4900
gcc-10.2.0.tar,636395520,114765368,5.5451,187.1334
gcc-10.3.0.tar,638187520,115018223,5.5485,177.3532
gcc-11.1.0.tar,672665600,121619732,5.5308,169.9728
gcc-11.2.0.tar,673658880,121933272,5.5248,169.4886
gcc-11.3.0.tar,675164160,121959076,5.5359,170.7939
gcc-12.1.0.tar,707655680,127300701,5.5589,170.7976
gcc-2.8.0.tar,33495040,7963650,4.2059,129.3864
gcc-2.8.1.tar,30197760,7144553,4.2266,148.3362
gcc-2.95.0.tar,60682240,12695565,4.7797,173.6027
gcc-2.95.1.tar,60241920,12624297,4.7719,169.0127
gcc-2.95.2.1.tar,60272640,12631359,4.7716,161.5541
gcc-2.95.2.tar,60272640,12631839,4.7714,169.7434
gcc-2.95.3.tar,55173120,12040152,4.5824,158.9022
gcc-3.0.0.tar,80721920,15880087,5.0832,173.3699
gcc-3.0.1.tar,81551360,15990502,5.0999,170.3368
gcc-3.0.2.tar,82237440,16140428,5.0951,176.6587
gcc-3.0.3.tar,82667520,16228888,5.0938,177.4911
gcc-3.0.4.tar,82984960,16300751,5.0908,181.6635
gcc-3.1.0.tar,122828800,23768217,5.1677,183.5655
gcc-3.1.1.tar,123248640,23835551,5.1707,181.9038
gcc-3.2.0.tar,123340800,23838818,5.1739,179.9091
gcc-3.2.1.tar,124231680,23935640,5.1902,177.4337
gcc-3.2.2.tar,124487680,23971743,5.1931,176.6725
gcc-3.2.3.tar,124610560,24004440,5.1911,179.9016
gcc-3.3.0.tar,138721280,26272049,5.2801,179.5307
gcc-3.3.1.tar,140195840,26411496,5.3081,176.8018
gcc-3.3.2.tar,140328960,26432775,5.3089,178.7694
gcc-3.3.3.tar,141312000,26608540,5.3107,173.5991
gcc-3.3.4.tar,141465600,26634995,5.3112,182.6968
gcc-3.3.5.tar,141506560,26639759,5.3118,182.5162
gcc-3.3.6.tar,142151680,26745587,5.3149,178.7317
gcc-3.4.0.tar,179906560,31918902,5.6363,185.3419
gcc-3.4.1.tar,177930240,31474432,5.6531,181.1801
gcc-3.4.2.tar,180070400,31567390,5.7043,184.6036
gcc-3.4.3.tar,180654080,31623101,5.7127,179.5142
gcc-3.4.4.tar,181862400,31787426,5.7212,175.3495
gcc-3.4.5.tar,182056960,31822866,5.7209,180.0816
gcc-3.4.6.tar,180234240,31762033,5.6745,180.6809
gcc-4.0.0.tar,213934080,37097361,5.7668,180.7527
gcc-4.0.1.tar,216350720,37400792,5.7846,179.5860
gcc-4.0.2.tar,215777280,37432181,5.7644,179.0455
gcc-4.0.3.tar,214620160,37448302,5.7311,179.0946
gcc-4.0.4.tar,214896640,37487993,5.7324,174.7994
gcc-4.1.0.tar,254433280,44171457,5.7601,180.8408
gcc-4.1.1.tar,255784960,44356042,5.7666,182.2271
gcc-4.1.2.tar,257689600,44677432,5.7677,180.2853
gcc-4.2.0.tar,285409280,49431401,5.7738,178.9050
gcc-4.2.1.tar,287303680,49643256,5.7873,180.2420
gcc-4.2.2.tar,287447040,49730666,5.7800,184.7502
gcc-4.2.3.tar,287692800,49786581,5.7785,184.9290
gcc-4.2.4.tar,285327360,49465422,5.7682,183.0275
gcc-4.3.0.tar,384256000,67294697,5.7100,184.5206
gcc-4.3.1.tar,382453760,66970018,5.7108,179.1641
gcc-4.3.2.tar,382863360,67070680,5.7083,185.2534
gcc-4.3.3.tar,385239040,67463227,5.7103,185.6686
gcc-4.3.4.tar,385525760,67506666,5.7109,186.2222
gcc-4.3.5.tar,385576960,67500744,5.7121,183.1164
gcc-4.3.6.tar,385607680,67501692,5.7125,183.2340
gcc-4.4.0.tar,405862400,71279786,5.6939,185.3363
gcc-4.4.1.tar,406220800,71358053,5.6927,185.8992
gcc-4.4.2.tar,406599680,71420362,5.6930,181.1855
gcc-4.4.3.tar,406988800,71474868,5.6941,181.9853
gcc-4.4.4.tar,407296000,71527587,5.6942,182.1284
gcc-4.4.5.tar,407552000,71571623,5.6943,182.9742
gcc-4.4.6.tar,407685120,71598313,5.6940,184.4495
gcc-4.4.7.tar,407787520,71631224,5.6928,184.9775
gcc-4.5.0.tar,424509440,75025792,5.6581,182.0545
gcc-4.5.1.tar,425216000,75138488,5.6590,180.5851
gcc-4.5.2.tar,426588160,75292456,5.6657,184.8205
gcc-4.5.3.tar,426895360,75346898,5.6657,184.3170
gcc-4.5.4.tar,427171840,75388495,5.6662,185.5280
gcc-4.6.0.tar,463646720,81402722,5.6957,178.9792
gcc-4.6.1.tar,465131520,81538136,5.7044,178.6154
gcc-4.6.2.tar,466585600,81831124,5.7018,177.6882
gcc-4.6.3.tar,466892800,81902869,5.7005,175.9710
gcc-4.6.4.tar,467118080,81944604,5.7004,175.0089
gcc-4.7.0.tar,502374400,92632165,5.4233,177.3684
gcc-4.7.1.tar,503152640,92729399,5.4260,178.2265
gcc-4.7.2.tar,504535040,92875169,5.4323,181.3990
gcc-4.7.3.tar,505006080,92945865,5.4333,183.1650
gcc-4.7.4.tar,505292800,92995604,5.4335,188.6181
gcc-4.8.0.tar,527882240,97060535,5.4386,198.9955
gcc-4.8.1.tar,528261120,97166409,5.4366,188.1648
gcc-4.8.2.tar,524195840,96402524,5.4375,190.8393
gcc-4.8.3.tar,525803520,96690675,5.4379,187.2975
gcc-4.8.4.tar,526131200,96715067,5.4400,188.7678
gcc-4.8.5.tar,526438400,96767095,5.4402,188.7393
gcc-4.9.0.tar,551208960,100961901,5.4595,184.0199
gcc-4.9.1.tar,552140800,101103668,5.4611,188.1266
gcc-4.9.2.tar,552632320,101182784,5.4617,185.9793
gcc-4.9.3.tar,553369600,101331820,5.4609,185.0779
gcc-4.9.4.tar,553871360,101453685,5.4593,184.6937
