filename,compressed_bytes,restored_bytes,throughput_MiB_s
gcc-10.1.0.tar.zst,114534688,635351040,127.4051
gcc-10.2.0.tar.zst,114765368,636395520,757.4122
gcc-10.3.0.tar.zst,115018223,638187520,776.0396
gcc-11.1.0.tar.zst,121619732,672665600,810.0284
gcc-11.2.0.tar.zst,121933272,673658880,175.0041
gcc-11.3.0.tar.zst,121959076,675164160,42.1366
gcc-12.1.0.tar.zst,127300701,707655680,796.4373
gcc-2.8.0.tar.zst,7963650,33495040,619.4483
gcc-2.8.1.tar.zst,7144553,30197760,330.2599
gcc-2.95.0.tar.zst,12695565,60682240,429.4391
gcc-2.95.1.tar.zst,12624297,60241920,706.0947
gcc-2.95.2.1.tar.zst,12631359,60272640,709.2649
gcc-2.95.2.tar.zst,12631839,60272640,726.1481
gcc-2.95.3.tar.zst,12040152,55173120,641.3469
gcc-3.0.0.tar.zst,15880087,80721920,769.7657
gcc-3.0.1.tar.zst,15990502,81551360,788.5091
gcc-3.0.2.tar.zst,16140428,82237440,797.8328
gcc-3.0.3.tar.zst,16228888,82667520,712.6821
gcc-3.0.4.tar.zst,16300751,82984960,706.5915
gcc-3.1.0.tar.zst,23768217,122828800,770.1458
gcc-3.1.1.tar.zst,23835551,123248640,721.5983
gcc-3.2.0.tar.zst,23838818,123340800,778.5446
gcc-3.2.1.tar.zst,23935640,124231680,790.8086
gcc-3.2.2.tar.zst,23971743,124487680,768.8095
gcc-3.2.3.tar.zst,24004440,124610560,552.1054
gcc-3.3.0.tar.zst,26272049,138721280,203.9794
gcc-3.3.1.tar.zst,26411496,140195840,119.3397
gcc-3.3.2.tar.zst,26432775,140328960,120.2073
gcc-3.3.3.tar.zst,26608540,141312000,157.3105
gcc-3.3.4.tar.zst,26634995,141465600,141.4253
gcc-3.3.5.tar.zst,26639759,141506560,34.2312
gcc-3.3.6.tar.zst,26745587,142151680,14.9138
gcc-3.4.0.tar.zst,31918902,179906560,834.4666
gcc-3.4.1.tar.zst,31474432,177930240,612.2957
gcc-3.4.2.tar.zst,31567390,180070400,848.8001
gcc-3.4.3.tar.zst,31623101,180654080,795.8209
gcc-3.4.4.tar.zst,31787426,181862400,843.6742
gcc-3.4.5.tar.zst,31822866,182056960,801.4831
gcc-3.4.6.tar.zst,31762033,180234240,846.3062
gcc-4.0.0.tar.zst,37097361,213934080,850.7189
gcc-4.0.1.tar.zst,37400792,216350720,652.3970
gcc-4.0.2.tar.zst,37432181,215777280,802.9969
gcc-4.0.3.tar.zst,37448302,214620160,779.1357
gcc-4.0.4.tar.zst,37487993,214896640,111.8417
gcc-4.1.0.tar.zst,44171457,254433280,145.6138
gcc-4.1.1.tar.zst,44356042,255784960,143.5937
gcc-4.1.2.tar.zst,44677432,257689600,20.4029
gcc-4.2.0.tar.zst,49431401,285409280,827.9573
gcc-4.2.1.tar.zst,49643256,287303680,853.7759
gcc-4.2.2.tar.zst,49730666,287447040,808.0888
gcc-4.2.3.tar.zst,49786581,287692800,785.5044
gcc-4.2.4.tar.zst,49465422,285327360,850.7309
gcc-4.3.0.tar.zst,67294697,384256000,831.5555
gcc-4.3.1.tar.zst,66970018,382453760,187.6450
gcc-4.3.2.tar.zst,67070680,382863360,141.5495
gcc-4.3.3.tar.zst,67463227,385239040,26.7873
gcc-4.3.4.tar.zst,67506666,385525760,581.8426
gcc-4.3.5.tar.zst,67500744,385576960,840.2303
gcc-4.3.6.tar.zst,67501692,385607680,854.4366
gcc-4.4.0.tar.zst,71279786,405862400,710.1514
gcc-4.4.1.tar.zst,71358053,406220800,29.2896
gcc-4.4.2.tar.zst,71420362,406599680,833.1881
gcc-4.4.3.tar.zst,71474868,406988800,843.2994
gcc-4.4.4.tar.zst,71527587,407296000,842.0134
gcc-4.4.5.tar.zst,71571623,407552000,830.6817
gcc-4.4.6.tar.zst,71598313,407685120,814.2353
gcc-4.4.7.tar.zst,71631224,407787520,741.3989
gcc-4.5.0.tar.zst,75025792,424509440,265.0195
gcc-4.5.1.tar.zst,75138488,425216000,25.5989
gcc-4.5.2.tar.zst,75292456,426588160,845.6340
gcc-4.5.3.tar.zst,75346898,426895360,828.1216
gcc-4.5.4.tar.zst,75388495,427171840,859.1414
gcc-4.6.0.tar.zst,81402722,463646720,838.0060
gcc-4.6.1.tar.zst,81538136,465131520,759.1503
gcc-4.6.2.tar.zst,81831124,466585600,291.0438
gcc-4.6.3.tar.zst,81902869,466892800,136.7663
gcc-4.6.4.tar.zst,81944604,467118080,27.7393
gcc-4.7.0.tar.zst,92632165,502374400,812.4413
gcc-4.7.1.tar.zst,92729399,503152640,755.8532
gcc-4.7.2.tar.zst,92875169,504535040,782.5605
gcc-4.7.3.tar.zst,92945865,505006080,827.5030
gcc-4.7.4.tar.zst,92995604,505292800,446.2756
gcc-4.8.0.tar.zst,97060535,527882240,147.1797
gcc-4.8.1.tar.zst,97166409,528261120,31.7387
gcc-4.8.2.tar.zst,96402524,524195840,747.9426
gcc-4.8.3.tar.zst,96690675,525803520,732.9919
gcc-4.8.4.tar.zst,96715067,526131200,828.4177
gcc-4.8.5.tar.zst,96767095,526438400,843.2478
gcc-4.9.0.tar.zst,100961901,551208960,75.6539
gcc-4.9.1.tar.zst,101103668,552140800,48.0187
gcc-4.9.2.tar.zst,101182784,552632320,838.6066
gcc-4.9.3.tar.zst,101331820,553369600,769.4468
gcc-4.9.4.tar.zst,101453685,553871360,851.5557
gcc-5.1.0.tar.zst,106871755,585861120,827.7051
gcc-5.2.0.tar.zst,107006399,587038720,38.6012
gcc-5.3.0.tar.zst,107199424,589137920,126.1421
gcc-5.4.0.tar.zst,107239112,589987840,805.3285
gcc-5.5.0.tar.zst,107911366,592128000,772.2736
gcc-6.1.0.tar.zst,112716907,618496000,757.2608
gcc-6.2.0.tar.zst,112869198,620339200,466.5817
gcc-6.3.0.tar.zst,113007278,621127680,130.3691
gcc-6.4.0.tar.zst,113055663,621803520,26.9334
gcc-6.5.0.tar.zst,113255898,622899200,59.1017
gcc-7.1.0.tar.zst,93288662,505825280,799.7652
gcc-7.2.0.tar.zst,93409514,506357760,804.5428
gcc-7.3.0.tar.zst,93604530,507330560,805.6269
gcc-7.4.0.tar.zst,93878616,508303360,795.8703
gcc-7.5.0.tar.zst,94083649,509655040,778.5567
gcc-8.1.0.tar.zst,98051457,533708800,21.6224
gcc-8.2.0.tar.zst,98346504,534384640,51.8472
gcc-8.3.0.tar.zst,98324805,535162880,712.4367
gcc-8.4.0.tar.zst,98481790,536821760,762.0774
gcc-8.5.0.tar.zst,98582639,537978880,479.0181
gcc-9.1.0.tar.zst,107771054,586137600,826.9610
gcc-9.2.0.tar.zst,107857651,587028480,109.7222
gcc-9.3.0.tar.zst,108296708,588134400,20.2014
gcc-9.4.0.tar.zst,108565463,589998080,815.7911


Total_decompressed_files: 117
Mean_throughput_MiB_s: 556.6595
Std_dev_MiB_s: 321.3765
95%_CI_MiB_s: [498.4254, 614.8936]
