filename,compressed_bytes,restored_bytes,throughput_MiB_s
v2.6.11.tar.zst,45206555,208250880,650.2852
v2.6.12-rc2.tar.zst,44985536,210882560,650.0998
v2.6.12-rc3.tar.zst,45147765,211527680,648.3665
v2.6.12-rc4.tar.zst,45295454,211978240,675.1483
v2.6.12-rc5.tar.zst,45339365,212111360,709.0672
v2.6.12-rc6.tar.zst,45484193,212705280,652.5770
v2.6.12.tar.zst,46109413,212725760,627.8419
v2.6.13-rc1.tar.zst,46191043,215951360,147.8937
v2.6.13-rc2.tar.zst,46166104,215869440,662.8724
v2.6.13-rc3.tar.zst,46312670,216565760,568.8987
v2.6.13-rc4.tar.zst,46647538,219248640,121.8687
v2.6.13-rc5.tar.zst,46670499,219361280,48.4404
v2.6.13-rc6.tar.zst,46685182,219402240,20.5434
v2.6.13-rc7.tar.zst,46689428,219432960,709.3867
v2.6.13.tar.zst,47454399,219432960,705.8340
v2.6.14-rc1.tar.zst,47556868,223098880,697.5339
v2.6.14-rc2.tar.zst,47609637,223334400,738.6069
v2.6.14-rc3.tar.zst,47757675,223825920,604.3177
v2.6.14-rc4.tar.zst,47843603,224071680,642.0093
v2.6.14-rc5.tar.zst,47849038,224081920,765.7050
v2.6.14.tar.zst,48505483,224092160,757.1047
v2.6.15-rc1.tar.zst,48636860,228259840,742.6545
v2.6.15-rc2.tar.zst,48623442,228147200,647.2691
v2.6.15-rc3.tar.zst,48638603,228167680,173.1952
v2.6.15-rc4.tar.zst,48640525,228188160,109.2317
v2.6.15-rc5.tar.zst,48634496,228167680,135.2305
v2.6.15-rc6.tar.zst,48633529,228147200,25.9969
v2.6.15-rc7.tar.zst,48636139,228157440,45.8092
v2.6.15.tar.zst,49295219,228157440,749.1015
v2.6.16-rc1.tar.zst,49637878,233103360,759.7005
v2.6.16-rc2.tar.zst,49752226,233676800,613.2814
v2.6.16-rc3.tar.zst,49828583,233871360,762.5432
v2.6.16-rc4.tar.zst,49853901,233932800,680.2454
v2.6.16-rc5.tar.zst,49843412,233912320,23.3014
v2.6.16-rc6.tar.zst,49853956,233932800,66.8751
v2.6.16.tar.zst,50559280,233953280,733.3947
