filename,original_bytes,compressed_bytes,compression_ratio,throughput_MiB_s
netty-4.1.100.Final.tar,23521280,3046795,7.7200,196.8474
netty-4.1.101.Final.tar,23562240,3052150,7.7198,192.6173
netty-4.1.102.Final.tar,23664640,3080153,7.6829,195.7306
netty-4.1.103.Final.tar,23664640,3080386,7.6823,181.6774
netty-4.1.104.Final.tar,23664640,3079915,7.6835,195.8979
netty-4.1.105.Final.tar,23695360,3084013,7.6832,185.7810
netty-4.1.106.Final.tar,23695360,3085204,7.6803,182.4424
netty-4.1.107.Final.tar,23767040,3094136,7.6813,194.9070
netty-4.1.108.Final.tar,23838720,3106041,7.6749,196.4311
netty-4.1.109.Final.tar,23920640,3116688,7.6750,196.8625
netty-4.1.110.Final.tar,24043520,3132152,7.6763,185.9772
netty-4.1.111.Final.tar,24084480,3135573,7.6810,190.2895
netty-4.1.112.Final.tar,24115200,3140492,7.6787,179.0311
netty-4.1.113.Final.tar,24145920,3143648,7.6808,200.1856
netty-4.1.114.Final.tar,24238080,3156426,7.6789,198.4092
netty-4.1.115.Final.tar,24268800,3161570,7.6761,190.8951
netty-4.1.116.Final.tar,24340480,3170364,7.6775,190.8119
netty-4.1.117.Final.tar,24350720,3172846,7.6747,181.9446
netty-4.1.118.Final.tar,24371200,3174958,7.6760,201.3776
netty-4.1.119.Final.tar,24391680,3178529,7.6738,202.4206
netty-4.1.120.Final.tar,24412160,3182742,7.6701,192.4337
netty-4.1.121.Final.tar,24412160,3182916,7.6697,190.9908
netty-4.1.122.Final.tar,24524800,3186876,7.6955,176.9188
netty-4.1.123.Final.tar,24514560,3188595,7.6882,181.7978
netty-4.1.45.Final.tar,19886080,2566636,7.7479,201.6821
netty-4.1.46.Final.tar,19957760,2577862,7.7419,178.2222
netty-4.1.47.Final.tar,19998720,2579454,7.7530,192.7617
netty-4.1.48.Final.tar,20019200,2582104,7.7530,177.2343
netty-4.1.49.Final.tar,20346880,2635078,7.7215,176.7850
netty-4.1.50.Final.tar,20428800,2644660,7.7245,200.0619
netty-4.1.51.Final.tar,20510720,2655282,7.7244,192.4589
netty-4.1.52.Final.tar,20725760,2688104,7.7101,200.6327
netty-4.1.53.Final.tar,20879360,2724330,7.6640,201.9212
netty-4.1.54.Final.tar,21002240,2738363,7.6696,195.2456
netty-4.1.55.Final.tar,21084160,2748147,7.6721,182.4744
netty-4.1.56.Final.tar,21094400,2749253,7.6727,176.6281
netty-4.1.57.Final.tar,21166080,2759233,7.6710,202.4806
netty-4.1.58.Final.tar,21145600,2757382,7.6687,204.5163
netty-4.1.59.Final.tar,21227520,2768655,7.6670,206.3610
netty-4.1.60.Final.tar,21360640,2793071,7.6477,202.4762
netty-4.1.61.Final.tar,21401600,2799143,7.6457,178.8201
netty-4.1.62.Final.tar,21401600,2798448,7.6476,205.7943
netty-4.1.63.Final.tar,21411840,2799701,7.6479,204.9524
netty-4.1.64.Final.tar,21678080,2853520,7.5969,179.9270
netty-4.1.65.Final.tar,21708800,2856039,7.6010,168.3132
netty-4.1.66.Final.tar,22097920,2854477,7.7414,190.8555
netty-4.1.67.Final.tar,22159360,2861724,7.7433,196.9386
netty-4.1.68.Final.tar,22200320,2872906,7.7274,197.5778
netty-4.1.69.Final.tar,22220800,2876905,7.7238,197.4911
netty-4.1.70.Final.tar,22251520,2880105,7.7259,186.6209
netty-4.1.71.Final.tar,22282240,2881434,7.7330,185.8478
netty-4.1.72.Final.tar,22292480,2881764,7.7357,186.7775
netty-4.1.73.Final.tar,22333440,2886434,7.7373,204.6415
netty-4.1.74.Final.tar,22425600,2899599,7.7340,198.6176
netty-4.1.75.Final.tar,22435840,2901276,7.7330,200.0476
netty-4.1.76.Final.tar,22507520,2907771,7.7404,187.0193
netty-4.1.77.Final.tar,22507520,2910022,7.7344,185.5731
netty-4.1.78.Final.tar,22528000,2914481,7.7296,201.2486
netty-4.1.79.Final.tar,22568960,2921148,7.7260,201.0426
netty-4.1.80.Final.tar,22702080,2945405,7.7076,201.4538
netty-4.1.81.Final.tar,22712320,2946850,7.7073,188.7203
netty-4.1.82.Final.tar,22712320,2946958,7.7070,189.5338
netty-4.1.83.Final.tar,22947840,2967833,7.7321,199.0979
netty-4.1.84.Final.tar,22947840,2968333,7.7308,204.5508
netty-4.1.85.Final.tar,22999040,2973953,7.7334,204.0641
netty-4.1.86.Final.tar,23101440,2987937,7.7315,205.5936
netty-4.1.87.Final.tar,23121920,2992573,7.7264,205.3562
netty-4.1.88.Final.tar,23234560,3004340,7.7336,191.0299
netty-4.1.89.Final.tar,23234560,3004982,7.7320,192.2838
netty-4.1.90.Final.tar,23255040,3008276,7.7303,193.5828
netty-4.1.91.Final.tar,23285760,3013121,7.7281,178.4239
netty-4.1.92.Final.tar,23326720,3018360,7.7282,168.6986
netty-4.1.93.Final.tar,23357440,3022882,7.7268,193.6087
netty-4.1.94.Final.tar,23388160,3025992,7.7290,179.9973
netty-4.1.95.Final.tar,23429120,3030596,7.7308,181.0319
netty-4.1.96.Final.tar,23429120,3031699,7.7280,179.4121
netty-4.1.97.Final.tar,23459840,3039046,7.7194,171.8032
netty-4.1.98.Final.tar,23490560,3042971,7.7196,203.5022
netty-4.1.99.Final.tar,23500800,3045975,7.7153,197.6660
netty-4.2.0.Alpha1.tar,25108480,3220888,7.7955,179.3673
netty-4.2.0.Alpha2.tar,25159680,3226488,7.7978,207.2775
netty-4.2.0.Alpha3.tar,25251840,3234670,7.8066,210.0152
netty-4.2.0.Alpha4.tar,25477120,3257863,7.8201,194.3301
netty-4.2.0.Alpha5.tar,25630720,3270680,7.8365,197.7471
netty-4.2.0.Alpha6.tar,25640960,3273214,7.8335,199.2648
netty-4.2.0.Beta1.tar,25640960,3273236,7.8335,197.3682
netty-4.2.0.Final.tar,26275840,3366741,7.8045,200.8455
netty-4.2.0.RC1.tar,25825280,3302714,7.8194,201.5878
netty-4.2.0.RC2.tar,26040320,3320839,7.8414,200.8517
netty-4.2.0.RC3.tar,26132480,3343792,7.8152,202.1842
netty-4.2.0.RC4.tar,26224640,3357992,7.8096,202.3671
netty-4.2.1.Final.tar,27187200,3542077,7.6754,204.3253
netty-4.2.2.Final.tar,28467200,3683083,7.7291,214.2220
netty-4.2.3.Final.tar,28631040,3708630,7.7201,192.7851
netty-5.0.0.Alpha1.tar,19066880,2517132,7.5748,192.4078
netty-5.0.0.Alpha2.tar,17489920,2360326,7.4099,160.3445
netty-5.0.0.Alpha3.tar,16936960,2300893,7.3610,179.5868
netty-5.0.0.Alpha4.tar,17162240,2346420,7.3142,180.8453
netty-5.0.0.Alpha5.tar,17090560,2329019,7.3380,179.5763

Total_files: 99
Total_original_bytes: 2272532480
Total_compressed_bytes: 294912458
Total_compression_ratio (orig/comp): 7.7057
Total_savings_percent: 88.00
Mean_throughput_MiB_s: 192.5196
Std_dev_MiB_s: 10.5977
95%_CI_MiB_s: [190.4320, 194.6072]
