filename,original_bytes,compressed_bytes,compression_ratio,throughput_MiB_s
v0.13.3.tar,34846720,24893250,1.3998,163.8592
v0.14.0-beta1.tar,35932160,25657362,1.4004,168.0403
v0.14.0-beta2.tar,35717120,25253545,1.4143,163.8560
v0.14.0-beta3.tar,35717120,25338797,1.4095,176.4669
v0.14.0-rc1.tar,38809600,27626253,1.4048,194.4644
v0.14.0.tar,38799360,28023342,1.3845,187.0474
v0.14.1.tar,39393280,28504309,1.3820,191.0280
v0.14.2.tar,39905280,29080418,1.3722,188.5137
v0.14.3.tar,40683520,29651864,1.3720,188.5968
v0.14.4.tar,41267200,29950174,1.3778,190.1693
v0.14.5.tar,41830400,30433726,1.3744,182.7989
v0.14.6.tar,42393600,30727267,1.3796,165.0189
v0.14.7.tar,43038720,31037880,1.3866,180.9110
v0.14.8.tar,43991040,31749345,1.3855,190.5425
v15.0.0-rc.1.tar,44021760,31797595,1.3844,197.7997
v15.0.0-rc.2.tar,44625920,32311967,1.3810,211.6773
v15.0.0.tar,45772800,32866378,1.3926,214.5262
v15.0.1.tar,46919680,33624105,1.3954,201.4310
v15.0.2.tar,47544320,34116621,1.3935,186.1733
v15.1.0.tar,48220160,34545673,1.3958,190.1858
v15.2.0.tar,49213440,35153149,1.3999,184.9103
v15.2.1.tar,49889280,35637279,1.3999,188.7346
v15.3.0.tar,51496960,37081594,1.3887,207.0539
v15.3.1.tar,52080640,37724780,1.3805,211.2098
v15.3.2.tar,52674560,38385382,1.3722,210.7156
v15.4.0-rc.3.tar,54292480,39721947,1.3668,220.8720
v15.4.0.tar,53729280,40154008,1.3380,202.8499
v15.4.1.tar,54497280,40741061,1.3376,204.8082
v15.4.2.tar,55152640,41231833,1.3376,209.3213
v15.5.0.tar,56412160,41266630,1.3670,211.9571
v15.5.1.tar,56453120,41328600,1.3659,214.9329
v15.5.2.tar,56453120,41406945,1.3633,213.9393
v15.5.3.tar,56453120,41407014,1.3633,214.5346
v15.5.4.tar,56238080,41363133,1.3596,213.9228
v15.6.0.tar,61132800,44710459,1.3673,211.2004
v15.6.1.tar,61194240,44547669,1.3736,218.1338
v15.6.2.tar,59371520,43255048,1.3725,206.8673
v15.7.0.tar,31713280,6270582,5.0574,177.3348
v16.0.0-alpha.3.tar,56442880,41704858,1.3533,207.2593
v16.0.0-alpha.4.tar,56412160,41379954,1.3632,201.8317
v16.0.0-rc.1.tar,61358080,43439083,1.4125,203.9476
v16.0.0-rc.2.tar,61358080,43439162,1.4125,218.3300
v16.0.0.tar,61347840,43433489,1.4124,218.3217
v16.10.0.tar,15964160,4086703,3.9063,171.4370
v16.10.1.tar,15964160,4086468,3.9065,180.2677
v16.10.2.tar,15964160,4086827,3.9062,181.5992
v16.1.0.tar,6696960,962794,6.9557,91.2954
v16.11.0.tar,16046080,4102269,3.9115,142.3806
v16.1.1.tar,6707200,965847,6.9443,108.8878
v16.12.0.tar,16506880,4194787,3.9350,144.6889
v16.13.0.tar,16732160,4241417,3.9449,155.4717
v16.13.1.tar,16721920,4238793,3.9449,165.9174
v16.14.0.tar,31713280,6271537,5.0566,207.7671
v16.2.0.tar,7004160,982902,7.1260,114.5942
v16.3.0-alpha.0.tar,9021440,2950911,3.0571,107.9079
v16.3.0-alpha.1.tar,9062400,2955779,3.0659,128.7772
v16.3.0-alpha.2.tar,9195520,2972164,3.0938,147.8925
v16.3.0-alpha.3.tar,9205760,2975514,3.0938,129.0712
v16.3.0-rc.0.tar,9226240,2978156,3.0979,115.7990
v16.3.0.tar,9246720,2979386,3.1035,131.5667
v16.3.1.tar,9267200,2982059,3.1076,116.1910
v16.3.2.tar,9256960,2984186,3.1020,129.5451
v16.4.0-alpha.16.4.0-alpha.7926752.tar,9512960,3022745,3.1471,152.5519
v16.4.0-alpha.5a25959.tar,9185280,2973379,3.0891,133.3499
v16.4.0-alpha.94a255d.tar,9195520,2974581,3.0913,147.0114
v16.4.0.tar,9523200,3026205,3.1469,133.9244
v16.4.1.tar,9584640,3036548,3.1564,152.9843
v16.4.2.tar,9594880,3037206,3.1591,136.3820
v16.5.0.tar,10803200,3331194,3.2430,131.2009
v16.5.1.tar,10854400,3337678,3.2520,152.6102
v16.5.2.tar,10864640,3338644,3.2542,154.7004
v16.6.0-alpha.0.tar,10864640,3338994,3.2538,135.6944
v16.6.0-alpha.400d197.tar,11171840,3377498,3.3077,157.2027
v16.6.0-alpha.8af6728.tar,11048960,3357702,3.2906,139.6862
v16.6.0.tar,11161600,3374953,3.3071,131.7900
v16.6.1.tar,11417600,3421200,3.3373,166.5128
v16.6.3.tar,11458560,3430553,3.3401,166.1990
v16.7.0-alpha.1.tar,11479040,3434756,3.3420,159.2855
v16.7.0.tar,11755520,3473299,3.3845,145.8508
v16.8.0-alpha.1.tar,11776000,3476106,3.3876,167.1537
v16.8.0.tar,11960320,3511237,3.4062,154.7640
v16.8.1.tar,11960320,3512364,3.4052,154.2034
v16.8.2.tar,12021760,3520937,3.4143,175.6404
v16.8.3.tar,12032000,3522256,3.4159,162.8080
v16.8.4.tar,12042240,3524125,3.4170,178.7063
v16.8.5.tar,12113920,3530299,3.4314,162.1788
v16.8.6.tar,12124160,3532856,3.4318,157.1195
v16.9.0-alpha.0.tar,12247040,3401532,3.6004,164.2231
v16.9.0-rc.0.tar,13025280,3529669,3.6902,167.1370
v16.9.0.tar,13025280,3529553,3.6903,147.5064
v17.0.0.tar,19456000,4735929,4.1081,160.3553
v17.0.1.tar,19456000,4736094,4.1080,185.1357
v17.0.2.tar,19456000,4735475,4.1085,182.9980
v18.0.0.tar,24453120,5479489,4.4626,190.9995
v18.1.0.tar,24668160,5567557,4.4306,197.4319
v18.2.0.tar,24842240,5595899,4.4393,182.8141
v18.3.0.tar,24872960,5601818,4.4401,180.3084
v18.3.1.tar,24872960,5602231,4.4398,176.2395
v19.0.0.tar,41379840,7774093,5.3227,208.3204
v19.1.0.tar,37068800,7841312,4.7273,211.0600

Total_files: 100
Total_original_bytes: 2908631040
Total_compressed_bytes: 1715519995
Total_compression_ratio (orig/comp): 1.6954
Total_savings_percent: 42.00
Mean_throughput_MiB_s: 173.4119
Std_dev_MiB_s: 30.8440
95%_CI_MiB_s: [167.3665, 179.4574]
