Dataset,Method,Mean,CI95
React,TarReduce(LZ4),196.55,12.26
React,TarReduce(deflate),98.68,5.44
React,Depth1,49.81,2.38
React,Depth50,44.77,2.29
Netty,TarReduce(LZ4),195.12,5.03
Netty,TarReduce(deflate),99.65,3.04
Netty,Depth1,36.10,0.66
Netty,Depth50,32.87,0.72
Cpython,TarReduce(LZ4),152.08,6.96
Cpython,TarReduce(deflate),109.76,4.49
Cpython,Depth1,52.51,1.76
Cpython,Depth50,45.04,1.80
Automake,TarReduce(LZ4),80.84,7.04
Automake,TarReduce(deflate),46.60,3.37
Automake,Depth1,13.36,0.54
Automake,Depth50,12.32,0.55
Coreutils,TarReduce(LZ4),108.31,11.25
Coreutils,TarReduce(deflate),53.18,6.56
Coreutils,Depth1,17.95,1.19
Coreutils,Depth50,15.77,1.01
GCC,TarReduce(LZ4),112.49,6.86
GCC,TarReduce(deflate),91.25,4.72
GCC,Depth1,41.46,1.17
GCC,Depth50,36.68,1.12
Linux,TarReduce(LZ4),132.02,3.18
Linux,TarReduce(deflate),124.77,3.84
Linux,Depth1,70.53,1.81
Linux,Depth50,66.56,1.91
WEB,TarReduce(LZ4),189.45,2.49
WEB,TarReduce(deflate),213.67,3.07
WEB,Depth1,87.36,1.20
WEB,Depth50,77.52,1.22
